OBJECTID,Join_Count,TARGET_FID,Type,County,Name,email,phone,WebSite,County_Dir,district,Address1,Address2,City,Zip,addresses,origAddres,X,Y,address,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME_1,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
11,1,10,UGA Extension,Bibb County,UGA Extension-Bibb County,uge2021@uga.edu,478-751-6338,http://extension.uga.edu/county-offices/bibb.html,,,145 First Street,,Macon,31201-2627,"145 First Street, Macon, GA","145 First Street, Macon, GA",-83.6279737,32.840958,"145 1st st, macon, ga 31201, usa",13,21,1672039,13021,Bibb,Bibb County,6,H1,G4020,356,31420,,A,646881214,14512477,32.8088443,-83.6941934
12,1,11,UGA Extension,Bleckley County,UGA Extension-Bleckley County,uge2023@uga.edu,478-934-3220,http://extension.uga.edu/county-offices/bleckley.html,,,165 East Peacock Street,,Cochran,31014,"165 East Peacock Street, Cochran, GA","165 East Peacock Street, Cochran, GA",-83.3453565,32.3857661,"165 peacock st, cochran, ga 31014, usa",13,23,347451,13023,Bleckley,Bleckley County,6,H1,G4020,,,,A,559100207,8447351,32.4354034,-83.3317174
13,1,12,UGA Extension,Brantley County,UGA Extension-Brantley County,uge3025@uga.edu,912-462-5724,http://extension.uga.edu/county-offices/brantley.html,,,10303 North Main St.,,Nahunta,31553,"10303 North Main St.,  Nahunta, GA","10303 North Main St.,  Nahunta, GA",-81.9799613,31.2094192,"10303 n main st, nahunta, ga 31553, usa",13,25,351605,13025,Brantley,Brantley County,6,H1,G4020,,15260,,A,1145716325,12532560,31.1973339,-81.9829779
14,1,13,UGA Extension,Brooks County,UGA Extension-Brooks County,uge4027@uga.edu,229-263-4103,http://extension.uga.edu/county-offices/brooks.html,,,400 E Courtland Avenue,,Quitman,31643,"400 E Courtland Avenue,  Quitman, GA","400 E Courtland Avenue,  Quitman, GA",-83.5553169,30.7981793,"400 e courtland ave, quitman, ga 31643, usa",13,27,345518,13027,Brooks,Brooks County,6,H1,G4020,,46660,,A,1277108510,12188429,30.8229337,-83.5819054
15,1,14,UGA Extension,Bryan County,UGA Extension-Bryan County,uge3029@uga.edu,912-653-2231,http://extension.uga.edu/county-offices/bryan.html,,,131 N. College Street,,Pembroke,31321,"131 N. College Street,  Pembroke, GA","131 N. College Street,  Pembroke, GA",-81.621871,32.1375102,"131 n college st, pembroke, ga 31321, usa",13,29,350496,13029,Bryan,Bryan County,6,H1,G4020,496,42340,,A,1129165098,47870064,32.0179692,-81.4385431
16,1,15,UGA Extension,Bulloch County,UGA Extension-Bulloch County,uge3031@uga.edu,912-871-6130,http://extension.uga.edu/county-offices/bulloch.html,,,151 Langston Chapel Road,"Bulloch Center for Agriculture, Suite 600",Statesboro,30458,"151 Langston Chapel Road,  Statesboro, GA","151 Langston Chapel Road,  Statesboro, GA",-81.8078041,32.3993354,"151 langston chapel rd, statesboro, ga 30458, usa",13,31,350302,13031,Bulloch,Bulloch County,6,H1,G4020,,44340,,A,1742659416,40872090,32.3934083,-81.7438099
17,1,16,UGA Extension,Burke County,UGA Extension-Burke County,uge3033@uga.edu,706-554-2119,http://extension.uga.edu/county-offices/burke.html,,,715 West 6th Street,Burke County Office Park,Waynesboro,30830,"715 West 6th Street,  Waynesboro, GA","715 West 6th Street,  Waynesboro, GA",-82.028155,33.087017,"715 w 6th st, waynesboro, ga 30830, usa",13,33,347944,13033,Burke,Burke County,6,H1,G4020,,12260,,A,2141836290,20758798,33.0508189,-82.0115709
18,1,17,UGA Extension,Butts County,UGA Extension-Butts County,uge2035@uga.edu,770-775-8209,http://extension.uga.edu/county-offices/butts.html,,,576 Ernest Biles Drive,Butts Co,Jackson,30233,"576 Ernest Biles Drive, Jackson, GA","576 Ernest Biles Drive, Jackson, GA",-83.9489545,33.2956289,"576 ernest biles dr, jackson, ga 30233, usa",13,35,352295,13035,Butts,Butts County,6,H1,G4020,122,12060,,A,477599409,9425065,33.2903551,-83.9582206
19,1,18,UGA Extension,Calhoun County,UGA Extension-Calhoun County,uge4037@uga.edu,229-849-2685,http://extension.uga.edu/county-offices/calhoun.html,,,10971 Dickey Street,,Morgan,39866,"10971 Dickey Street, Morgan, GA","10971 Dickey Street, Morgan, GA",-84.6007479,31.5370102,"10971 dickey st, morgan, ga 39866, usa",13,37,344074,13037,Calhoun,Calhoun County,6,H1,G4020,,,,A,726147297,8315728,31.521279,-84.6262895
20,1,19,UGA Extension,Camden County,UGA Extension-Camden County,uge3039@uga.edu,912-576-3219,http://extension.uga.edu/county-offices/camden.html,,,1409 Georgia Avenue,,Woodbine,31569,"1409 Georgia Avenue,  Woodbine, GA","1409 Georgia Avenue,  Woodbine, GA",-81.7174815,30.9556508,"1409 georgia ave, woodbine, ga 31569, usa",13,39,1671316,13039,Camden,Camden County,6,H1,G4020,,41220,,A,1588171685,436849688,30.9133473,-81.6420006
21,1,20,UGA Extension,Candler County,UGA Extension-Candler County,uge3043@uga.edu,912-685-2408,http://extension.uga.edu/county-offices/candler.html,,,"1075 E Hiawatha St, Suite B",,Metter,30439,"1075 E Hiawatha St, Suite B,  Metter, GA","1075 E Hiawatha St, Suite B,  Metter, GA",-82.0380196,32.3914167,"1075 e hiawatha st suite b, metter, ga 30439, usa",13,43,342852,13043,Candler,Candler County,6,H1,G4020,,,,A,629495388,15043723,32.4039971,-82.07131
22,1,21,UGA Extension,Carroll County,UGA Extension-Carroll County,uge2045@uga.edu,770-836-8546,http://extension.uga.edu/county-offices/carroll.html,,,900 Newnan Rd,,Carrollton,30117-6477,"900 Newnan Rd,  Carrollton, GA","900 Newnan Rd,  Carrollton, GA",-85.0472931,33.5732351,"900 newnan rd, carrollton, ga 30117, usa",13,45,326650,13045,Carroll,Carroll County,6,H1,G4020,122,12060,,A,1292642959,12284897,33.5822366,-85.0805272
23,1,22,UGA Extension,Catoosa County,UGA Extension-Catoosa County,uge1047@uga.edu,706-935-4211,http://extension.uga.edu/county-offices/catoosa.html,,,43 Maple Street,,Ringgold,30736-2313,"43 Maple Street, Ringgold, GA","43 Maple Street, Ringgold, GA",-85.1115976,34.9158105,"43 maple st, ringgold, ga 30736, usa",13,47,353230,13047,Catoosa,Catoosa County,6,H1,G4020,174,16860,,A,419999394,771159,34.8993926,-85.1373531
24,1,23,UGA Extension,Charlton County,UGA Extension-Charlton County,uge4049@uga.edu,912-496-2040,http://extension.uga.edu/county-offices/charlton.html,,,55 Kingsland Drive,,Folkston,31537,"55 Kingsland Drive,  Folkston, GA","55 Kingsland Drive,  Folkston, GA",-81.9901974,30.8345104,"kingsland dr, folkston, ga 31537, usa",13,49,357747,13049,Charlton,Charlton County,6,H1,G4020,,,,A,2003652477,22681772,30.7799036,-82.1396442
25,1,24,UGA Extension,Chatham County,UGA Extension-Chatham County,uge3051@uga.edu,912-652-7981,http://extension.uga.edu/county-offices/chatham.html,,,17 Minus Avenue,,Garden City,31408,"17 Minus Avenue, Garden City, GA","17 Minus Avenue, Garden City, GA",-81.150223,32.102055,"17 minus ave, savannah, ga 31408, usa",13,51,1694477,13051,Chatham,Chatham County,6,H1,G4020,496,42340,,A,1105168782,532382555,31.980523,-81.0851899
26,1,25,UGA Extension,Chattahoochee County,UGA Extension-Chattahoochee County,uge2215@uga.edu,706-653-4200,http://extension.uga.edu/county-offices/chattahoochee.html,,,420 10th Street,Muscogee County County,Columbus,31901-1340,"420 10th Street, Columbus, GA","420 10th Street, Columbus, GA",-84.9782632,32.4543072,"420 10th ave, columbus, ga 31901, usa",13,215,357428,13215,Muscogee,Muscogee County,6,H6,G4020,194,17980,,C,560530553,11873623,32.510197,-84.874946
27,1,26,UGA Extension,Chattooga County,UGA Extension-Chattooga County,uge1055@uga.edu,706-857-0744,http://extension.uga.edu/county-offices/chattooga.html,,,40 Middle School Rd.,,Summerville,30747,"40 Middle School Rd., Summerville, GA","40 Middle School Rd., Summerville, GA",-85.3561816,34.4596673,"40 middle school rd, summerville, ga 30747, usa",13,55,352213,13055,Chattooga,Chattooga County,6,H1,G4020,,44900,,A,811512413,570807,34.4741785,-85.3452894
28,1,27,UGA Extension,Cherokee County,UGA Extension-Cherokee County,uge1057@uga.edu,770-721-7803,http://extension.uga.edu/county-offices/cherokee.html,,,1130 Bluffs Parkway,,Canton,30114,"1130 Bluffs Parkway, Canton, GA","1130 Bluffs Parkway, Canton, GA",-84.4714881,34.2679355,"1130 bluffs pkwy, canton, ga 30114, usa",13,57,1685718,13057,Cherokee,Cherokee County,6,H1,G4020,122,12060,,A,1092141193,32963099,34.2443166,-84.4750574
29,1,28,UGA Extension,Athens-Clarke County,UGA Extension-Athens-Clarke County,uge1059@uga.edu,706-613-3640,http://extension.uga.edu/county-offices/clarke.html,,,2152 West Broad Street,,Athens,30606,"2152 West Broad Street, Athens, GA","2152 West Broad Street, Athens, GA",-83.4069996,33.9508839,"2152 w broad st, athens, ga 30606, usa",13,59,1672699,13059,Clarke,Clarke County,6,H6,G4020,,12020,,C,308738478,4741270,33.9521852,-83.3671522
30,1,29,UGA Extension,Clay County,UGA Extension-Clay County,uge4061@uga.edu,229-768-2247,http://extension.uga.edu/county-offices/clay.html,,,107 East Commerce St,,Fort Gaines,31751,"107 East Commerce St,  Fort Gaines, GA","107 East Commerce St,  Fort Gaines, GA",-85.04922,31.60646,"107 commerce st, fort gaines, ga 39851, usa",13,61,344805,13061,Clay,Clay County,6,H1,G4020,,,,A,506035694,56603701,31.6198309,-84.9925826
31,1,30,UGA Extension,Clayton County,UGA Extension-Clayton County,uge1063@uga.edu,770-473-3945,http://extension.uga.edu/county-offices/clayton.html,,,"1262 Government Circle, Ste 40",,Jonesboro,30236-5905,"1262 Government Circle, Ste 40,  Jonesboro, GA","1262 Government Circle, Ste 40,  Jonesboro, GA",-84.3495582,33.5362918,"1262 government cir #40, jonesboro, ga 30236, usa",13,63,1672399,13063,Clayton,Clayton County,6,H1,G4020,122,12060,,A,366748529,7063449,33.5426863,-84.3555727
32,1,31,UGA Extension,Clinch County,UGA Extension-Clinch County,uge4065@uga.edu,912-487-2169,http://extension.uga.edu/county-offices/clinch.html,,,"313 West Dame Avenue, Suite A",,Homerville,31634,"313 West Dame Avenue, Suite A, Homerville, GA","313 West Dame Avenue, Suite A, Homerville, GA",-82.7526085,31.0351222,"313 w dame ave suite a, homerville, ga 31634, usa",13,65,351285,13065,Clinch,Clinch County,6,H1,G4020,,,,A,2072566627,61565581,30.9176531,-82.7026143
33,1,32,UGA Extension,Cobb County,UGA Extension-Cobb County,uge1067@uga.edu,770-528-4070,http://extension.uga.edu/county-offices/cobb.html,,,"678 South Cobb Drive, Suite 200",,Marietta,30060-3105,"678 South Cobb Drive, Suite 200, Marietta, GA","678 South Cobb Drive, Suite 200, Marietta, GA",-84.5429411,33.9359198,"678 s cobb dr #200, marietta, ga 30060, usa",13,67,1686112,13067,Cobb,Cobb County,6,H1,G4020,122,12060,,A,879749607,12574593,33.93994,-84.5741657
34,1,33,UGA Extension,Coffee County,UGA Extension-Coffee County,uge4069@uga.edu,912-384-1402,http://extension.uga.edu/county-offices/coffee.html,,,709 East Ward Street,,Douglas,31533,"709 East Ward Street, Douglas, GA","709 East Ward Street, Douglas, GA",-82.8411818,31.5087589,"709 e ward st, douglas, ga 31533, usa",13,69,347456,13069,Coffee,Coffee County,6,H1,G4020,,20060,,A,1490019179,70837644,31.5492446,-82.8449382
35,1,34,UGA Extension,Colquitt County,UGA Extension-Colquitt County,uge4071@uga.edu,229-616-7455,http://extension.uga.edu/county-offices/colquitt.html,,,"350 Building 1, Room 132",Veterans Parkway North,Moultrie,31788,"350 Building 1, Room 132,  Moultrie, GA","350 Building 1, Room 132,  Moultrie, GA",-83.758515,31.1849989,"350 n veterans pkwy # 132, moultrie, ga 31788, usa",13,71,343936,13071,Colquitt,Colquitt County,6,H1,G4020,,34220,,A,1409383647,32304996,31.1897575,-83.7697405
36,1,35,UGA Extension,Columbia County,UGA Extension-Columbia County,uge3073@uga.edu,706-541-4011,http://extension.uga.edu/county-offices/columbia.html,,,6420 Pollards Pond Road,,Appling,30802-3726,"6420 Pollards Pond Road, Appling, GA","6420 Pollards Pond Road, Appling, GA",-82.3153592,33.5482893,"6420 pollards pond road, appling, ga 30802, usa",13,73,348865,13073,Columbia,Columbia County,6,H1,G4020,,12260,,A,751319916,45368325,33.5505513,-82.2513613
37,1,36,UGA Extension,Cook County,UGA Extension-Cook County,uge4075@uga.edu,229-896-7456,http://extension.uga.edu/county-offices/cook.html,,,206 East 9th Street,,Adel,31620,"206 East 9th Street,  Adel, GA","206 East 9th Street,  Adel, GA",-83.4195743,31.1308379,"206 e 9th st, adel, ga 31620, usa",13,75,343878,13075,Cook,Cook County,6,H1,G4020,,,,A,588328555,15664206,31.1529619,-83.4295668
38,1,37,UGA Extension,Coweta County,UGA Extension-Coweta County,uge2077@uga.edu,770-254-2620,http://extension.uga.edu/county-offices/coweta.html,,,255 Pine Road,,Newnan,30263-6014,"255 Pine Road, Newnan, GA","255 Pine Road, Newnan, GA",-84.7905396,33.3360567,"255 pine rd, newnan, ga 30263, usa",13,77,326666,13077,Coweta,Coweta County,6,H1,G4020,122,12060,,A,1141929899,12730333,33.3528965,-84.7621381
39,1,38,UGA Extension,Crawford County,UGA Extension-Crawford County,uge2079@uga.edu,478-836-3121,http://extension.uga.edu/county-offices/crawford.html,,,100 Wright Avenue,,Roberta,31078,"100 Wright Avenue, Roberta, GA","100 Wright Avenue, Roberta, GA",-84.0108141,32.7210848,"100 wright ave, roberta, ga 31078, usa",13,79,342918,13079,Crawford,Crawford County,6,H1,G4020,356,31420,,A,841521493,3989489,32.7094283,-83.9791874
40,1,39,UGA Extension,Crisp County,UGA Extension-Crisp County,uge2081@uga.edu,229-276-2612,http://extension.uga.edu/county-offices/crisp.html,,,"110 W 13th Avenue, Suite C",,Cordele,31015,"110 W 13th Avenue, Suite C,  Cordele, GA","110 W 13th Avenue, Suite C,  Cordele, GA",-83.783433,31.967234,"110 w 13th ave suite c, cordele, ga 31015, usa",13,81,351607,13081,Crisp,Crisp County,6,H1,G4020,,18380,,A,705989189,21671085,31.9147534,-83.7533381
41,1,40,UGA Extension,Dade County,UGA Extension-Dade County,uge1083@uga.edu,706-657-4116,http://extension.uga.edu/county-offices/dade.html,,,114 Pace Drive,,Trenton,30752-2412,"114 Pace Drive, Trenton, GA","114 Pace Drive, Trenton, GA",-85.5188788,34.8699962,"114 pace dr, trenton, ga 30752, usa",13,83,347465,13083,Dade,Dade County,6,H1,G4020,174,16860,,A,450605025,467844,34.8524237,-85.5062006
42,1,41,UGA Extension,Dawson County,UGA Extension-Dawson County,uge1085@uga.edu,706-265-2442,http://extension.uga.edu/county-offices/dawson.html,,,298 Academy Avenue,,Dawsonville,30534,"298 Academy Avenue, Dawsonville, GA","298 Academy Avenue, Dawsonville, GA",-84.1195787,34.4202071,"298 academy ave, dawsonville, ga 30534, usa",13,85,351312,13085,Dawson,Dawson County,6,H1,G4020,122,12060,,A,546042466,9272855,34.4428421,-84.1732841
43,1,42,UGA Extension,Decatur County,UGA Extension-Decatur County,uge4087@uga.edu,229-248-3033,http://extension.uga.edu/county-offices/decatur.html,,,101 B Ag Lane,Ag Bldg.,Bainbridge,39817,"101 B Ag Lane, Bainbridge, GA","101 B Ag Lane, Bainbridge, GA",-84.5579074,30.9153113,"1213 vada rd, bainbridge, ga 39817, usa",13,87,352234,13087,Decatur,Decatur County,6,H1,G4020,,12460,,A,1546584790,67412745,30.8780906,-84.5778942
44,1,43,UGA Extension,DeKalb County,UGA Extension-DeKalb County,uge1089@uga.edu,404-298-4080,http://extension.uga.edu/county-offices/dekalb.html,,,"4380 Memorial Drive, Ste. 200",,Decatur,30032-1239,"4380 Memorial Drive, Ste. 200, Decatur, GA","4380 Memorial Drive, Ste. 200, Decatur, GA",-84.246648,33.7780804,"4380 memorial dr #200, decatur, ga 30032, usa",13,89,1687424,13089,DeKalb,DeKalb County,6,H1,G4020,122,12060,,A,693052824,9201253,33.7706611,-84.2263431
45,1,44,UGA Extension,Dodge County,UGA Extension-Dodge County,uge2091@uga.edu,478-374-8137,http://extension.uga.edu/county-offices/dodge.html,,,230 Foster Street,Suite A,Eastman,31023,"230 Foster Street, Eastman, GA","230 Foster Street, Eastman, GA",-83.1738206,32.1980601,"230 foster st, eastman, ga 31023, usa",13,91,348116,13091,Dodge,Dodge County,6,H1,G4020,,,,A,1284365335,18692940,32.1602346,-83.1562413
46,1,45,UGA Extension,Dooly County,UGA Extension-Dooly County,uge2093@uga.edu,229-268-4171,http://extension.uga.edu/county-offices/dooly.html,,,"1150 Industrial Drive, Suite 132",,Vienna,31092,"1150 Industrial Drive, Suite 132, Vienna, GA","1150 Industrial Drive, Suite 132, Vienna, GA",-83.7746714,32.0970228,"1150 industrial dr #132, vienna, ga 31092, usa",13,93,351608,13093,Dooly,Dooly County,6,H1,G4020,,,,A,1015120169,13841084,32.1519954,-83.807167
47,1,46,UGA Extension,Dougherty County,UGA Extension-Dougherty County,uge4095@uga.edu,229-436-7216,http://extension.uga.edu/county-offices/dougherty.html,,,"125 Pine Avenue, Suite 100",,Albany,31701,"125 Pine Avenue, Suite 100,  Albany, GA","125 Pine Avenue, Suite 100,  Albany, GA",-84.1503563,31.5789023,"125 pine ave #100, albany, ga 31701, usa",13,95,351259,13095,Dougherty,Dougherty County,6,H1,G4020,,10500,,A,851140270,15396050,31.5325876,-84.20904
48,1,47,UGA Extension,Douglas County,UGA Extension-Douglas County,uge2097@uga.edu,770-920-7224,http://extension.uga.edu/county-offices/douglas.html,,,6279 Fairburn Rd.,,Douglasville,30134,"6279 Fairburn Rd.,  Douglasville, GA","6279 Fairburn Rd.,  Douglasville, GA",-84.7368411,33.751323,"6279 fairburn rd, douglasville, ga 30134, usa",13,97,1686467,13097,Douglas,Douglas County,6,H1,G4020,122,12060,,A,518142392,2485428,33.6993166,-84.7659441
49,1,48,UGA Extension,Early County,UGA Extension-Early County,uge4099@uga.edu,229-723-3072,http://extension.uga.edu/county-offices/early.html,,,14415 Magnolia Street,,Blakely,39823,"14415 Magnolia Street,  Blakely, GA","14415 Magnolia Street,  Blakely, GA",-84.9156459,31.3845936,"14415 magnolia st, blakely, ga 39823, usa",13,99,345041,13099,Early,Early County,6,H1,G4020,,,,A,1327612226,9717177,31.3241906,-84.9067225
50,1,49,UGA Extension,Echols County,UGA Extension-Echols County,uge4101@uga.edu,229-559-5562,http://extension.uga.edu/county-offices/echols.html,,,109 Courthouse Street,,Statenville,31648,"109 Courthouse Street,  Statenville, GA","109 Courthouse Street,  Statenville, GA",-83.0272597,30.7027425,"109 courthouse st, statenville, ga 31648, usa",13,101,348092,13101,Echols,Echols County,6,H1,G4020,,46660,,A,1074571679,15087403,30.7085,-82.836132
51,1,50,UGA Extension,Effingham County,UGA Extension-Effingham County,uge3103@uga.edu,912-754-8040,http://extension.uga.edu/county-offices/effingham.html,,,284 Highway 119  S.,,Springfield,31329,"284 Highway 119  S.,  Springfield, GA","284 Highway 119  S.,  Springfield, GA",-81.3166717,32.368384,"284 ga-119, springfield, ga 31329, usa",13,103,350219,13103,Effingham,Effingham County,6,H1,G4020,496,42340,,A,1237246284,13537765,32.3617106,-81.3433367
52,1,51,UGA Extension,Elbert County,UGA Extension-Elbert County,uge1105@uga.edu,706-283-2037,http://extension.uga.edu/county-offices/elbert.html,,,1088 Ruckersville Rd.,,Elberton,30635,"1088 Ruckersville Rd., Elberton, GA","1088 Ruckersville Rd., Elberton, GA",-82.8565297,34.1307597,"1088 ruckersville rd, elberton, ga 30635, usa",13,105,347828,13105,Elbert,Elbert County,6,H1,G4020,,,,A,909234666,59980881,34.116486,-82.8418155
53,1,52,UGA Extension,Emanuel County,UGA Extension-Emanuel County,uge3107@uga.edu,478-237-1226,http://extension.uga.edu/county-offices/emanuel.html,,,129 N Anderson Drive,,Swainsboro,30401,"129 N Anderson Drive,  Swainsboro, GA","129 N Anderson Drive,  Swainsboro, GA",-82.321887,32.601693,"129 n anderson dr, swainsboro, ga 30401, usa",13,107,347508,13107,Emanuel,Emanuel County,6,H1,G4020,,,,A,1762760467,24802070,32.5910995,-82.2997628
54,1,53,UGA Extension,Evans County,UGA Extension-Evans County,uge3109@uga.edu,912-739-1292,http://extension.uga.edu/county-offices/evans.html,,,102 Daniel St.,,Claxton,30417,"102 Daniel St., Claxton, GA","102 Daniel St., Claxton, GA",-81.9064569,32.1632366,"102 daniel st, claxton, ga 30417, usa",13,109,345923,13109,Evans,Evans County,6,H1,G4020,,,,A,473607497,10382490,32.1519021,-81.887618
55,1,54,UGA Extension,Fannin County,UGA Extension-Fannin County,uge1111@uga.edu,706-632-3061,http://extension.uga.edu/county-offices/fannin.html,,,"205 Church Street, Suite 1",,Blue Ridge,30513,"205 Church Street, Suite 1, Blue Ridge, GA","205 Church Street, Suite 1, Blue Ridge, GA",-84.3264593,34.8647985,"205 church st #1, blue ridge, ga 30513, usa",13,111,351094,13111,Fannin,Fannin County,6,H1,G4020,,,,A,1002058824,13560698,34.866497,-84.3174397
56,1,55,UGA Extension,Fayette County,UGA Extension-Fayette County,uge2113@uga.edu,"770-305-5412, Ext. 7",http://extension.uga.edu/county-offices/fayette.html,,,140 Stonewall Avenue W,Suite 209,Fayetteville,30214-1520,"140 Stonewall Avenue W, Fayetteville, GA","140 Stonewall Avenue W, Fayetteville, GA",-84.4570558,33.4470043,"140 stonewall ave w, fayetteville, ga 30214, usa",13,113,1687740,13113,Fayette,Fayette County,6,H1,G4020,122,12060,,A,503398001,12847733,33.4127172,-84.4939407
57,1,56,UGA Extension,Floyd County,UGA Extension-Floyd County,uge1115@uga.edu,706-295-6210,http://extension.uga.edu/county-offices/floyd.html,,,12 East 4th Avenue,Old Courthouse,Rome,30161,"12 East 4th Avenue, Rome, GA","12 East 4th Avenue, Rome, GA",-85.171347,34.2538103,"12 e 4th ave, rome, ga 30161, usa",13,115,353665,13115,Floyd,Floyd County,6,H1,G4020,,40660,,A,1320694712,22123874,34.2636769,-85.2137297
58,1,57,UGA Extension,Forsyth County,UGA Extension-Forsyth County,uge1117@uga.edu,770-887-2418,http://extension.uga.edu/county-offices/forsyth.html,,,"875 Lanier 400 Parkway, Suite 158",,Cumming,30040-2541,"875 Lanier 400 Parkway, Suite 158, Cumming, GA","875 Lanier 400 Parkway, Suite 158, Cumming, GA",-84.1256613,34.2110656,"875 lanier 400 parkway #158, cumming, ga 30040, usa",13,117,1673358,13117,Forsyth,Forsyth County,6,H1,G4020,122,12060,,A,580409088,59754295,34.225143,-84.1274353
