OBJECTID,Join_Count,TARGET_FID,STORE_NAME,DISTRICT,COUNTY,PHYSICAL_S,PHYSICAL_C,PHYSICAL_1,PHYSICAL_Z,STORE_TYPE,PHONE,addresses,origAddres,X,Y,address,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
17,1,16,BI-LO #5276,AUGUSTA,MCDUFFIE,687 MAIN STREET,THOMSON,GA,30,Supermarket,(706) 595-6098,"687 MAIN STREET, THOMSON, GA","687 MAIN STREET, THOMSON, GA",-82.50641770000,33.48333240000,"687 main st, thomson, ga 30824, usa",13,189,00348794,13189,McDuffie,McDuffie County,06,H1,G4020,,12260,,A,666825167.00000000000,23116183.00000000000,+33.4824637,-082.4731880
18,1,17,BI-LO #5292,AUGUSTA,RICHMOND,2512 TOBACCO ROAD,HEPHZIBAH,GA,30,Supermarket,(706) 790-0917,"2512 TOBACCO ROAD, HEPHZIBAH, GA","2512 TOBACCO ROAD, HEPHZIBAH, GA",-82.07396950000,33.37492390000,"2512 tobacco rd, hephzibah, ga 30815, usa",13,245,00358024,13245,Richmond,Richmond County,06,H6,G4020,,12260,,C,840008420.00000000000,11042329.00000000000,+33.3614870,-082.0749983
19,1,18,BI-LO #5431,AUGUSTA,SCREVEN,1109 WEST OGEECHEE AVENUE,SYLVANIA,GA,30,Supermarket,(912) 564-7070,"1109 WEST OGEECHEE AVENUE, SYLVANIA, GA","1109 WEST OGEECHEE AVENUE, SYLVANIA, GA",-81.65080800000,32.73229890000,"1109 w ogeechee st, sylvania, ga 30467, usa",13,251,00350204,13251,Screven,Screven County,06,H1,G4020,,,,A,1670803666.00000000000,27889015.00000000000,+32.7447512,-081.6175849
20,1,19,BI-LO #5514,AUGUSTA,RICHMOND,2803 WRIGHTSBORO ROAD,AUGUSTA,GA,30,Supermarket,(706) 733-3355,"2803 WRIGHTSBORO ROAD, AUGUSTA, GA","2803 WRIGHTSBORO ROAD, AUGUSTA, GA",-82.03578850000,33.47013990000,"2803 wrightsboro rd, augusta, ga 30909, usa",13,245,00358024,13245,Richmond,Richmond County,06,H6,G4020,,12260,,C,840008420.00000000000,11042329.00000000000,+33.3614870,-082.0749983
21,1,20,BI-LO #5534,WAYCROSS,TOOMBS,1101 EAST FIRST STREET,VIDALIA,GA,30,Supermarket,(912) 537-4330,"1101 EAST FIRST STREET, VIDALIA, GA","1101 EAST FIRST STREET, VIDALIA, GA",-82.40129650000,32.21169820000,"1101 e 1st st, vidalia, ga 30474, usa",13,279,00345220,13279,Toombs,Toombs County,06,H1,G4020,,47080,,A,942770655.00000000000,18093842.00000000000,+32.1266975,-082.3320708
22,1,21,BI-LO #5542,AUGUSTA,RICHMOND,3457 PEACH ORCHARD ROAD,AUGUSTA,GA,30,Supermarket,(706) 560-1075,"3457 PEACH ORCHARD ROAD, AUGUSTA, GA","3457 PEACH ORCHARD ROAD, AUGUSTA, GA",-82.02859970000,33.38966820000,"3457 peach orchard rd, augusta, ga 30906, usa",13,245,00358024,13245,Richmond,Richmond County,06,H6,G4020,,12260,,C,840008420.00000000000,11042329.00000000000,+33.3614870,-082.0749983
23,1,22,BI-LO #5567,WAYCROSS,BULLOCH,"325 NORTHSIDE DRIVE EAST,",STATESBORO,GA,30,Supermarket,(912) 489-1465,"325 NORTHSIDE DRIVE EAST,, STATESBORO, GA","325 NORTHSIDE DRIVE EAST,, STATESBORO, GA",-81.76189570000,32.43685020000,"325 northside dr e, statesboro, ga 30458, usa",13,031,00350302,13031,Bulloch,Bulloch County,06,H1,G4020,,44340,,A,1742659416.00000000000,40872090.00000000000,+32.3934083,-081.7438099
24,1,23,BI-LO #5577,AUGUSTA,WILKES,136 WASHINGTON PLAZA,WASHINGTON,GA,30,Supermarket,(706) 678-4233,"136 WASHINGTON PLAZA, WASHINGTON, GA","136 WASHINGTON PLAZA, WASHINGTON, GA",-82.75415310000,33.72521870000,"136 washington plaza, washington, ga 30673, usa",13,317,00351265,13317,Wilkes,Wilkes County,06,H1,G4020,,,,A,1215973904.00000000000,11924784.00000000000,+33.7790400,-082.7479223
25,1,24,BI-LO #5625,AUGUSTA,COLUMBIA,4480 COLUMBIA ROAD,MARTINEZ,GA,30,Supermarket,(706) 860-2317,"4480 COLUMBIA ROAD, MARTINEZ, GA","4480 COLUMBIA ROAD, MARTINEZ, GA",-82.14293250000,33.50693900000,"4480 columbia rd, augusta, ga 30907, usa",13,073,00348865,13073,Columbia,Columbia County,06,H1,G4020,,12260,,A,751319916.00000000000,45368325.00000000000,+33.5505513,-082.2513613
26,1,25,BI-LO #5744,WAYCROSS,TATTNALL,312 SOUTH VETERANS BOULEV,GLENNVILLE,GA,30,Supermarket,(912) 654-3103,"312 SOUTH VETERANS BOULEV, GLENNVILLE, GA","312 SOUTH VETERANS BOULEV, GLENNVILLE, GA",-81.93125890000,31.93309550000,"312 s veterans blvd, glennville, ga 30427, usa",13,267,00347445,13267,Tattnall,Tattnall County,06,H1,G4020,,,,A,1241559207.00000000000,23258329.00000000000,+32.0437683,-082.0592081
27,1,26,BI-LO #5746,BRUNSWICK,CHATHAM,1042 US HIGHWAY 80 WEST,POOLER,GA,31,Supermarket,(912) 748-8208,"1042 US HIGHWAY 80 WEST, POOLER, GA","1042 US HIGHWAY 80 WEST, POOLER, GA",-81.26649690000,32.12342740000,"1042 us-80, pooler, ga 31322, usa",13,051,01694477,13051,Chatham,Chatham County,06,H1,G4020,496,42340,,A,1105168782.00000000000,532382555.00000000000,+31.9805230,-081.0851899
28,1,27,BI-LO #5754,BRUNSWICK,MCINTOSH,1338 NORTH WAY,DARIEN,GA,31,Supermarket,(912) 437-5900,"1338 NORTH WAY, DARIEN, GA","1338 NORTH WAY, DARIEN, GA",-81.43193300000,31.38562210000,"1338 north way, darien, ga 31305, usa",13,191,00356886,13191,McIntosh,McIntosh County,06,H1,G4020,,15260,,A,1098984242.00000000000,387392530.00000000000,+31.4829776,-081.3701993
29,1,28,BIG BEAR SUPERMARKET # 2,DEKALB,DEKALB,2849 CANDLER ROAD,DECATUR,GA,30,Supermarket,(404) 381-5063,"2849 CANDLER ROAD, DECATUR, GA","2849 CANDLER ROAD, DECATUR, GA",-84.27205300000,33.70601500000,"2849 candler rd, decatur, ga 30034, usa",13,089,01687424,13089,DeKalb,DeKalb County,06,H1,G4020,122,12060,,A,693052824.00000000000,9201253.00000000000,+33.7706611,-084.2263431
30,1,29,"BOB & JEFF'S IGA, INC.",ALBANY,THOMAS,309 SMITH AVENUE,THOMASVILLE,GA,31,Supermarket,(229) 226-0992,"309 SMITH AVENUE, THOMASVILLE, GA","309 SMITH AVENUE, THOMASVILLE, GA",-83.97552300000,30.83606900000,"309 smith ave, thomasville, ga 31792, usa",13,275,00343835,13275,Thomas,Thomas County,06,H1,G4020,,45620,,A,1410508603.00000000000,19729670.00000000000,+30.8646064,-083.9198196
31,1,30,BOWDON PIGGLY WIGGLY #328,LAGRANGE,CARROLL,136 LOVVORN AVENUE,BOWDON,GA,30,Supermarket,(770) 258-2465,"136 LOVVORN AVENUE, BOWDON, GA","136 LOVVORN AVENUE, BOWDON, GA",-85.25222010000,33.54031030000,"136 lovvorn ave, bowdon, ga 30108, usa",13,045,00326650,13045,Carroll,Carroll County,06,H1,G4020,122,12060,,A,1292642959.00000000000,12284897.00000000000,+33.5822366,-085.0805272
32,1,31,BRADLEY'S BIG BUY D/B/A PIGGLY WIGGLY EXPRESS,FULTON,FULTON,506 CENTER STREET,PALMETTO,GA,30,Supermarket,(770) 463-4647,"506 CENTER STREET, PALMETTO, GA","506 CENTER STREET, PALMETTO, GA",-84.66927690000,33.51933200000,"506 center st, palmetto, ga 30268, usa",13,121,01694833,13121,Fulton,Fulton County,06,H1,G4020,122,12060,,A,1364064364.00000000000,19824081.00000000000,+33.7900338,-084.4681816
33,1,32,BROXTON GROCERY,WAYCROSS,COFFEE,"108 OCMULGEE STREET, WEST",BROXTON,GA,31,Small Grocery Store,(912) 359-3835,"108 OCMULGEE STREET, WEST, BROXTON, GA","108 OCMULGEE STREET, WEST, BROXTON, GA",-82.88675250000,31.62594110000,"108 ocmulgee st w, broxton, ga 31519, usa",13,069,00347456,13069,Coffee,Coffee County,06,H1,G4020,,20060,,A,1490019179.00000000000,70837644.00000000000,+31.5492446,-082.8449382
34,1,33,BRUMBY FOODS #1,ALBANY,TERRELL,516 NORTH MAIN STREET,DAWSON,GA,39,Small Grocery Store,(229) 995-4370,"516 NORTH MAIN STREET, DAWSON, GA","516 NORTH MAIN STREET, DAWSON, GA",-84.44663750000,31.77799010000,"516 n main st, dawson, ga 39842, usa",13,273,00352238,13273,Terrell,Terrell County,06,H1,G4020,,10500,,A,868785070.00000000000,5861858.00000000000,+31.7771909,-084.4394464
35,1,34,BRUMBY FOODS #6,COLUMBUS,RANDOLPH,3032 CALHOUN STREET,SHELLMAN,GA,39,Small Grocery Store,(229) 679-5366,"3032 CALHOUN STREET, SHELLMAN, GA","3032 CALHOUN STREET, SHELLMAN, GA",-84.61312030000,31.75426730000,"3032 calhoun st, shellman, ga 39886, usa",13,243,00352242,13243,Randolph,Randolph County,06,H1,G4020,,,,A,1109127081.00000000000,6830055.00000000000,+31.7626510,-084.7523108
36,1,35,BUFORD HIGHWAY FARMERS MARKET,DEKALB,DEKALB,5600 BUFORD HIGHWAY,DORAVILLE,GA,30,Supermarket,(770) -45-2-20,"5600 BUFORD HIGHWAY, DORAVILLE, GA","5600 BUFORD HIGHWAY, DORAVILLE, GA",-84.27345510000,33.90534770000,"5600 buford hwy ne, doraville, ga 30340, usa",13,089,01687424,13089,DeKalb,DeKalb County,06,H1,G4020,122,12060,,A,693052824.00000000000,9201253.00000000000,+33.7706611,-084.2263431
37,1,36,BUTLER PIGGLY WIGGLY,COLUMBUS,TAYLOR,53 SOUTH BROAD STREET,BUTLER,GA,31,Supermarket,(478) 862-3341,"53 SOUTH BROAD STREET, BUTLER, GA","53 SOUTH BROAD STREET, BUTLER, GA",-84.23863160000,32.55309200000,"53 s broad st, butler, ga 31006, usa",13,269,00344156,13269,Taylor,Taylor County,06,H1,G4020,,,,A,975612223.00000000000,7803624.00000000000,+32.5546668,-084.2514261
38,1,37,C & J'S SUPERMARKET,MACON,BIBB,2901 JEFFERSONVILLE ROAD,MACON,GA,31,Supermarket,(478) 745-1248,"2901 JEFFERSONVILLE ROAD, MACON, GA","2901 JEFFERSONVILLE ROAD, MACON, GA",-83.57397350000,32.84101850000,"2901 jeffersonville rd, macon, ga 31217, usa",13,021,01672039,13021,Bibb,Bibb County,06,H1,G4020,356,31420,,A,646881214.00000000000,14512477.00000000000,+32.8088443,-083.6941934
39,2,38,C & J'S SUPERMARKET #2,MACON,JONES,101 HIGHWAY 49,MACON,GA,31,Supermarket,(478) 746-3744,"101 HIGHWAY 49, MACON, GA","101 HIGHWAY 49, MACON, GA",-83.55927080000,32.87272900000,"101 ga-49, macon, ga 31211, usa",13,169,00345367,13169,Jones,Jones County,06,H1,G4020,356,31420,,A,1020281727.00000000000,3842679.00000000000,+33.0202261,-083.5623393
40,1,39,CAIRO IGA,ALBANY,GRADY,110 2ND AVENUE SOUTHEAST,CAIRO,GA,39,Supermarket,(229) 377-3112,"110 2ND AVENUE SOUTHEAST, CAIRO, GA","110 2ND AVENUE SOUTHEAST, CAIRO, GA",-84.20685520000,30.87452810000,"110 2nd ave se, cairo, ga 39828, usa",13,131,00351261,13131,Grady,Grady County,06,H1,G4020,,,,A,1177231852.00000000000,14846272.00000000000,+30.8758910,-084.2450655
41,1,40,CAMP MERRILL COMMISSARY,GAINESVILLE,LUMPKIN,"1 CAMP MERRILL DRIVE, BUI",DAHLONEGA,GA,30,Military Commissary,(706) 864-6017,"1 CAMP MERRILL DRIVE, BUI, DAHLONEGA, GA","1 CAMP MERRILL DRIVE, BUI, DAHLONEGA, GA",-84.10423680000,34.62748370000,"1 camp merrill dr, dahlonega, ga 30533, usa",13,187,00357196,13187,Lumpkin,Lumpkin County,06,H1,G4020,,,,A,732793135.00000000000,3273364.00000000000,+34.5681350,-083.9989062
42,1,41,CASH SAVER #597,DUBLIN,DODGE,215 5TH AVENUE,EASTMAN,GA,31,Supermarket,(478) 374-2281,"215 5TH AVENUE, EASTMAN, GA","215 5TH AVENUE, EASTMAN, GA",-83.17905180000,32.19613100000,"215 5th ave, eastman, ga 31023, usa",13,091,00348116,13091,Dodge,Dodge County,06,H1,G4020,,,,A,1284365335.00000000000,18692940.00000000000,+32.1602346,-083.1562413
43,1,42,CHAPPELL'S FOOD VALUE #10,ROME,WALKER,321 WEST PATTON STREET,LAFAYETTE,GA,30,Small Grocery Store,(706) 638-3976,"321 WEST PATTON STREET, LAFAYETTE, GA","321 WEST PATTON STREET, LAFAYETTE, GA",-85.28520420000,34.70486460000,"321 w patton st, lafayette, ga 30728, usa",13,295,00354216,13295,Walker,Walker County,06,H1,G4020,174,16860,,A,1156146497.00000000000,1672677.00000000000,+34.7358269,-085.3053852
44,1,43,CHAPPELL'S FOOD VALUE #12,DALTON,WHITFIELD,3507 CHATTANOOGA ROAD,TUNNEL HILL,GA,30,Small Grocery Store,(706) 673-2351,"3507 CHATTANOOGA ROAD, TUNNEL HILL, GA","3507 CHATTANOOGA ROAD, TUNNEL HILL, GA",-85.04768700000,34.84203190000,"3507 chattanooga rd, tunnel hill, ga 30755, usa",13,313,00353513,13313,Whitfield,Whitfield County,06,H1,G4020,,19140,,A,752293162.00000000000,1534098.00000000000,+34.8017261,-084.9685410
45,1,44,CITY FARMERS MARKET,DEKALB,DEKALB,3317 BUFORD HIGHWAY,ATLANTA,GA,30,Supermarket,(404) 458-4767,"3317 BUFORD HIGHWAY, ATLANTA, GA","3317 BUFORD HIGHWAY, ATLANTA, GA",-84.32601820000,33.84126910000,"3317 buford hwy ne, atlanta, ga 30329, usa",13,089,01687424,13089,DeKalb,DeKalb County,06,H1,G4020,122,12060,,A,693052824.00000000000,9201253.00000000000,+33.7706611,-084.2263431
46,1,45,CITY FARMERS MARKET INC,DEKALB,DEKALB,"5000 BUFORD HIGHWAY, SUIT",CHAMBLEE,GA,30,Supermarket,(770) 936-8858,"5000 BUFORD HIGHWAY, SUIT, CHAMBLEE, GA","5000 BUFORD HIGHWAY, SUIT, CHAMBLEE, GA",-84.28844880000,33.88800790000,"5000 buford hwy ne, chamblee, ga 30341, usa",13,089,01687424,13089,DeKalb,DeKalb County,06,H1,G4020,122,12060,,A,693052824.00000000000,9201253.00000000000,+33.7706611,-084.2263431
47,1,46,CITY FOOD MARKET LLC,FULTON,FULTON,417 NORTH CENTRAL AVENUE,HAPEVILLE,GA,30,Small Grocery Store,(404) 766-7595,"417 NORTH CENTRAL AVENUE, HAPEVILLE, GA","417 NORTH CENTRAL AVENUE, HAPEVILLE, GA",-84.40243100000,33.65602320000,"417 n central ave, hapeville, ga 30354, usa",13,121,01694833,13121,Fulton,Fulton County,06,H1,G4020,122,12060,,A,1364064364.00000000000,19824081.00000000000,+33.7900338,-084.4681816
48,1,47,CLARKSTON THRIFTOWN,DEKALB,DEKALB,926 MONTREAL ROAD,CLARKSTON,GA,30,Supermarket,(404) 296-6493,"926 MONTREAL ROAD, CLARKSTON, GA","926 MONTREAL ROAD, CLARKSTON, GA",-84.24245030000,33.81015110000,"926 montreal rd, clarkston, ga 30021, usa",13,089,01687424,13089,DeKalb,DeKalb County,06,H1,G4020,122,12060,,A,693052824.00000000000,9201253.00000000000,+33.7706611,-084.2263431
49,1,48,CLERMONT IGA,GAINESVILLE,HALL,5206 CLEVELAND HIGHWAY,CLERMONT,GA,30,Supermarket,(770) 983-2711,"5206 CLEVELAND HIGHWAY, CLERMONT, GA","5206 CLEVELAND HIGHWAY, CLERMONT, GA",-83.80499230000,34.44567500000,"5206 cleveland hwy, clermont, ga 30527, usa",13,139,01686953,13139,Hall,Hall County,06,H1,G4020,122,23580,,A,1017305163.00000000000,94563088.00000000000,+34.3175876,-083.8184973
50,1,49,COBB NAM DAE MUN FARMERS MARKET,COBB-DOUGLAS,COBB,"2350 SPRING ROAD, SUITE",SMYRNA,GA,30,Supermarket,(678) 309-0007,"2350 SPRING ROAD, SUITE, SMYRNA, GA","2350 SPRING ROAD, SUITE, SMYRNA, GA",-84.48763820000,33.88210910000,"2350 spring rd se, smyrna, ga 30080, usa",13,067,01686112,13067,Cobb,Cobb County,06,H1,G4020,122,12060,,A,879749607.00000000000,12574593.00000000000,+33.9399400,-084.5741657
51,1,50,COLEMAN'S GROCERY,COLUMBUS,CHATTAHOOCHEE,159 U.S. HIGHWAY 520,CUSSETA,GA,31,Small Grocery Store,(706) 989-3524,"159 U.S. HIGHWAY 520, CUSSETA, GA","159 U.S. HIGHWAY 520, CUSSETA, GA",-84.78483210000,32.30270960000,"159, ga-520 bus, cusseta, ga 31805, united states",13,053,00351012,13053,Chattahoochee,Chattahoochee County,06,H6,G4020,194,17980,,C,644223515.00000000000,6292717.00000000000,+32.3474454,-084.7880206
52,1,51,COLQUITT PIC N SAV,ALBANY,MILLER,301 EAST CRAWFORD STREET,COLQUITT,GA,39,Supermarket,(334) 699-1470,"301 EAST CRAWFORD STREET, COLQUITT, GA","301 EAST CRAWFORD STREET, COLQUITT, GA",-84.72723000000,31.16879390000,"301 e crawford st, colquitt, ga 39837, usa",13,201,00344088,13201,Miller,Miller County,06,H1,G4020,,,,A,731466825.00000000000,3216301.00000000000,+31.1629079,-084.7303856
53,1,52,COMMERCE QUALITY FOODS,ATHENS,JACKSON,3185 MAYSVILLE ROAD,COMMERCE,GA,30,Supermarket,(706) 335-5050,"3185 MAYSVILLE ROAD, COMMERCE, GA","3185 MAYSVILLE ROAD, COMMERCE, GA",-83.47972040000,34.20792290000,"3185 maysville rd, commerce, ga 30529, usa",13,157,00349570,13157,Jackson,Jackson County,06,H1,G4020,,,,A,879716306.00000000000,8906799.00000000000,+34.1341570,-083.5651332
54,1,53,COOPER FOODS,COLUMBUS,HARRIS,9152 GA HIGHWAY 85,WAVERLY HALL,GA,31,Supermarket,(706) 582-2000,"9152 GA HIGHWAY 85, WAVERLY HALL, GA","9152 GA HIGHWAY 85, WAVERLY HALL, GA",-84.73467300000,32.68552800000,"9152 ga-85, waverly hall, ga 31831, usa",13,145,00326700,13145,Harris,Harris County,06,H1,G4020,194,17980,,A,1201461944.00000000000,23488481.00000000000,+32.7315494,-084.9124320
55,1,54,CORNELIA QUALITY FOODS,GAINESVILLE,HABERSHAM,195 QUALITY FOODS SHOPPIN,CORNELIA,GA,30,Supermarket,(706) 778-9512,"195 QUALITY FOODS SHOPPIN, CORNELIA, GA","195 QUALITY FOODS SHOPPIN, CORNELIA, GA",-83.54675430000,34.51073370000,"1275 level grove rd, cornelia, ga 30531, usa",13,137,00351383,13137,Habersham,Habersham County,06,H1,G4020,,18460,,A,716754681.00000000000,5917226.00000000000,+34.6351078,-083.5264058
56,1,55,CROOK'S MARKETPLACE,LAGRANGE,COWETA,7790 WELLS STREET,SENOIA,GA,30,Supermarket,(770) 599-8600,"7790 WELLS STREET, SENOIA, GA","7790 WELLS STREET, SENOIA, GA",-84.55456840000,33.29734020000,"7790 wells st, senoia, ga 30276, usa",13,077,00326666,13077,Coweta,Coweta County,06,H1,G4020,122,12060,,A,1141929899.00000000000,12730333.00000000000,+33.3528965,-084.7621381
