Agency,id,Address,City,State,Zip,full_add,lon,lat,type,loctype,neighborhood,locality,administrative_area_level_2
Christ Chapel Share & Care Mission,P100,323 Inman Street,Ringgold,GA,30736,"323 Inman Street, City, GA  30736",-85.1027171,34.9209833,street_address,range_interpolated,NA,Ringgold,Catoosa County
Carroll County Soup Kitchen,P080,345 Beulah Church Road,Carrollton,GA,30117,"345 Beulah Church Road, City, GA  30117",-85.0988352,33.6008387,premise,rooftop,NA,Carrollton,Carroll County
Franklin Housing & Redevelopment Inc.,P247,900 S. River Road,Franklin,GA,30217,"900 S. River Road, City, GA  30217",-85.0979356,33.2646974,street_address,rooftop,NA,Franklin,Heard County
WestCare Youth Academy,P677,23850 Oak Grove Church Rd,Carroll,GA,30117,"23850 Oak Grove Church Rd, City, GA  30117",-85.0937766,33.5116563,route,geometric_center,NA,Carrollton,Carroll County
Glenloch Baptist Church,P265,2807 Glenloch Road,Franklin,GA,30217,"2807 Glenloch Road, City, GA  30217",-85.0869333,33.4131829,premise,rooftop,NA,Franklin,Heard County
Developing and Nurturing Needy Youth Center Inc.,P175,"4395, 201 Trojan Dr,",Carrollton,GA,30117,"4395, 201 Trojan Dr,, City, GA  30117",-85.0809144,33.5672334,subpremise,rooftop,NA,Carrollton,Carroll County
Open Hands United Christian Ministry,P472,505 Newnan Street,Carrollton,GA,30117,"505 Newnan Street, City, GA  30117",-85.0705463,33.5798486,premise,rooftop,NA,Carrollton,Carroll County
Open Hands United Christian Ministry,P473,505 Newnan Street,Carrollton,GA,30117,"505 Newnan Street, City, GA  30117",-85.0705463,33.5798486,premise,rooftop,NA,Carrollton,Carroll County
Mt. Pleasant Baptist Church-Manna House,P409,403 Mandeville Avenue,Carrollton,GA,30116,"403 Mandeville Avenue, City, GA  30116",-85.062694,33.5770883,street_address,range_interpolated,NA,Carrollton,Carroll County
Aragon UMC,P035,101 New Prospect Road,Aragon,GA,30104,"101 New Prospect Road, City, GA  30104",-85.059941,34.0419126,street_address,range_interpolated,NA,Aragon,Polk County
West Georgia Concil on Aging,P676,1130 Cedar St.,Carrollton,GA,30117,"1130 Cedar St., City, GA  30117",-85.053036,33.584296,street_address,rooftop,NA,Carrollton,Carroll County
Deeper Life Christian Center,P173,1860 Highway 113,Carrollton,GA,30117,"1860 Highway 113, City, GA  30117",-85.051565,33.647387,street_address,rooftop,NA,Carrollton,Carroll County
Mount Vernon United Methodist Church,P404,597 Lafayette Road,Rocky Face,GA,30740,"597 Lafayette Road, City, GA  30740",-85.0507051,34.7838806,premise,rooftop,NA,Rocky Face,Whitfield County
Soul Station Ministries Inc.,P572,3517 Chattanooga Road,Tunnel Hill,GA,30755,"3517 Chattanooga Road, City, GA  30755",-85.0476921,34.8427166,street_address,rooftop,NA,Tunnel Hill,Whitfield County
SDA-Bible Fellowship -Helping Hands,P552,221 South Piedmont Avenue,Rockmart,GA,30153,"221 South Piedmont Avenue, City, GA  30153",-85.0419387,33.995039,premise,rooftop,NA,Rockmart,Polk County
Temple Senior Center,P616,280 Rome Street,Temple,GA,30179,"280 Rome Street, City, GA  30179",-85.0318098,33.7438351,establishment,rooftop,NA,Temple,Carroll County
First Fruits Ministry of NW GA Inc.,P227,615 Reeves Station Rd,Calhoun,GA,30701,"615 Reeves Station Rd, City, GA  30701",-84.991263,34.4616294,street_address,range_interpolated,NA,Calhoun,Gordon County
Calhoun Seventh Day Adventist Church,P073,1411 Rome Road SW,Calhoun,GA,30701,"1411 Rome Road SW, City, GA  30701",-84.9826548,34.4628897,street_address,rooftop,NA,Calhoun,Gordon County
Salvation Army - Dalton,P539,1109 North Thornton Avenue,Dalton,GA,30720,"1109 North Thornton Avenue, City, GA  30720",-84.9774875,34.7854932,premise,rooftop,NA,Dalton,Whitfield County
Lifeline Mission,P361,3970 Carrolton Villa Rica Highway,Carrolton,GA,30116,"3970 Carrolton Villa Rica Highway, City, GA  30116",-84.9713918,33.6449395,street_address,rooftop,NA,Carrollton,Carroll County
Rock Bridge Community Church-Dalton,P523,115 W. Crawford St.  GA,Dalton,GA,30720,"115 W. Crawford St.  GA, City, GA  30720",-84.968558,34.771154,street_address,rooftop,NA,Dalton,Whitfield County
Dalton Women's Home/Chaplain's Place,P163,"638 S. Hamilton Street, Suite A",Dalton,GA,30720,"638 S. Hamilton Street, Suite A, City, GA  30720",-84.9682218,34.7642774,subpremise,rooftop,NA,Dalton,Whitfield County
Parkway Human Services Corp. DBA City of Refuge,P481,201 Bryant Avenue,Dalton,GA,30721,"201 Bryant Avenue, City, GA  30721",-84.967978,34.7575512,premise,rooftop,NA,Dalton,Whitfield County
Providence Ministries,P499,711 South Hamilton Street,Dalton,GA,30720,"711 South Hamilton Street, City, GA  30720",-84.9670432,34.7622054,premise,rooftop,NA,Dalton,Whitfield County
Chattanooga Area Food Bank-NW Georgia Branch,P096,1111 S. Hamilton,Dalton,GA,30702,"1111 S. Hamilton, City, GA  30702",-84.96572,34.75443,point,manual,NA,Dalton,Whitfield County
Varnell United Methodist Church,P664,3485 Hwy 2,Cohutta,GA,30721,"3485 Hwy 2, City, GA  30721",-84.959351,34.89959,point,manual,NA,Dalton,Whitfield County
First Baptist Church of Villa Rica,P223,1483 W. Highway 78,Villa Rica,GA,30180,"1483 W. Highway 78, City, GA  30180",-84.9584262,33.7350783,premise,rooftop,NA,Villa Rica,Carroll County
Community Housing Resource,P135,704 Gist Place,Dalton,GA,30721,"704 Gist Place, City, GA  30721",-84.9431342,34.7828685,street_address,rooftop,NA,Dalton,Whitfield County
Adairsville-N. Bartow Comm. Services,P017,2397 Hall Station Road,Adairsville,GA,30103,"2397 Hall Station Road, City, GA  30103",-84.9406367,34.3746635,street_address,rooftop,NA,Adairsville,Bartow County
Oothcalooga Baptist Church,P471,10 Woody Road,Adairsville,GA,30103,"10 Woody Road, City, GA  30103",-84.936564,34.383828,street_address,rooftop,NA,Adairsville,Bartow County
East Calhoun Church of God,P185,401 Peters St,Calhoun,GA,30701,"401 Peters St, City, GA  30701",-84.9356175,34.4836026,premise,rooftop,NA,Calhoun,Gordon County
Mount Prospect Baptist Church,P403,133 Thomas Dorsey Drive,Villa Rica,GA,30180,"133 Thomas Dorsey Drive, City, GA  30180",-84.914386,33.7282681,premise,rooftop,NA,Villa Rica,Carroll County
"Northpointe Church of Adairsville, Inc",P460,4645 Joe Frank Harris Pkwy,Adairsville,GA,30103,"4645 Joe Frank Harris Pkwy, City, GA  30103",-84.8978319,34.316804,street_address,rooftop,NA,Adairsville,Bartow County
New Georgia Baptist Church,P427,6092 Mulberry Rock Road,Villa Rica,GA,30180,"6092 Mulberry Rock Road, City, GA  30180",-84.8915379,33.8082777,street_address,rooftop,NA,Villa Rica,Paulding County
SVDP - Dallas Family Support Center,P604,651 W Memorial Dr Ste A,Dallas,GA,30132,"651 W Memorial Dr Ste A, City, GA  30132",-84.8554086,33.9206728,subpremise,rooftop,NA,Dallas,Paulding County
Helping Hands of Paulding Co.,P298,228 West Spring Street,Dallas,GA,30132,"228 West Spring Street, City, GA  30132",-84.8421108,33.9224425,premise,rooftop,NA,Dallas,Paulding County
Heritage SDA Church,P302,6969 Highway 5,Douglasville,GA,30135,"6969 Highway 5, City, GA  30135",-84.835825,33.616727,street_address,rooftop,NA,Douglasville,Douglas County
Coweta Community Food Pantry,P155,251 Temple Avenue,Newnan,GA,30263,"251 Temple Avenue, City, GA  30263",-84.8204238,33.3876671,street_address,range_interpolated,NA,Newnan,Coweta County
Grace Baptist Church,P275,477 Old Cassville  White Road NW,Cartersville,GA,30121,"477 Old Cassville  White Road NW, City, GA  30121",-84.817763,34.2680785,street_address,rooftop,NA,Cartersville,Bartow County
Rock Bridge Community Church-Murray,P524,40 Bowtie Blvd.,Chatsworth,GA,30705,"40 Bowtie Blvd., City, GA  30705",-84.816788,34.782376,point,manual,NA,Chatsworth,Murray County
Faith United Methodist Church,P208,501 Grassdale Road,Cartersville,GA,30121,"501 Grassdale Road, City, GA  30121",-84.8163094,34.2138384,street_address,rooftop,NA,Cartersville,Bartow County
Bridging the Gap,P067,19 1st. Ave,Newnan,GA,30263,"19 1st. Ave, City, GA  30263",-84.8028919,33.3725304,premise,rooftop,NA,Newnan,Coweta County
First Baptist Church Newnan,P220,70 Madison Street,Newnan,GA,30263,"70 Madison Street, City, GA  30263",-84.8027288,33.3760201,premise,rooftop,NA,Newnan,Coweta County
Church of the Ascension Food Pantry,P106,201 West Cherokee Ave,Cartersville,GA,30120,"201 West Cherokee Ave, City, GA  30120",-84.800813,34.1655655,premise,rooftop,NA,Cartersville,Bartow County
First Presbyterian Church of Cartersville,P229,183 West Main Street,Cartersville,GA,30120,"183 West Main Street, City, GA  30120",-84.7996309,34.1645188,premise,rooftop,NA,Cartersville,Bartow County
Meals on Wheels of Coweta Inc.,P386,8 Savannah st,Newnan,GA,30263,"8 Savannah st, City, GA  30263",-84.7991417,33.3712373,premise,rooftop,NA,Newnan,Coweta County
Lighthouse Food Pantry,P364,294 W/I Parkway,Dallas,GA,30132,"294 W/I Parkway, City, GA  30132",-84.7984,33.91154,point,manual,NA,Dallas,Paulding County
St. Francis of Assisi Catholic Church,P586,140 Douglas Street,Cartersville,GA,30120,"140 Douglas Street, City, GA  30120",-84.795269,34.1724379,premise,rooftop,NA,Cartersville,Bartow County
"Family Choices, Inc.",P211,6345 Queens Road,Douglasville,GA,30135,"6345 Queens Road, City, GA  30135",-84.7829359,33.6832705,premise,rooftop,NA,Douglasville,Douglas County
Friendship Baptist Church,P250,194 Poplar Road,Newnan,GA,30263,"194 Poplar Road, City, GA  30263",-84.7725329,33.3621719,street_address,rooftop,NA,Newnan,Coweta County
The Salvation Army-Murray Food Centers,P638,211 W Fort Street,Chatsworth,GA,30705,"211 W Fort Street, City, GA  30705",-84.7718235,34.7664352,premise,rooftop,NA,Chatsworth,Murray County
Developing and Nurturing Needy Youth Center Inc.,P174,5960 Stewart Parkway,Douglasville,GA,30135,"5960 Stewart Parkway, City, GA  30135",-84.7699067,33.7203735,premise,rooftop,NA,Douglasville,Douglas County
Helping Hands Food Pantry - Chatsworth,P297,4540 North 411,Eton,GA,30724,"4540 North 411, City, GA  30724",-84.76471,34.81853,route,manual,NA,Crandall,Murray County
Life Tools Community Development Corp.,P359,9633 Hwy-5,Douglasville,GA,30135,"9633 Hwy-5, City, GA  30135",-84.7640742,33.7222605,premise,rooftop,NA,Douglasville,Douglas County
Cartersville Church of God- Ch.  at Liberty Square,P081,61 Old Tennesee Highway,Cartersville,GA,30121,"61 Old Tennesee Highway, City, GA  30121",-84.7603319,34.2662671,street_address,range_interpolated,NA,White,Bartow County
Hiram United Methodist-Food for Friends,P308,324 Hiram Douglasville Highway,Hiram,GA,30141,"324 Hiram Douglasville Highway, City, GA  30141",-84.7578739,33.8872323,premise,rooftop,NA,Hiram,Paulding County
Vision 21 Concepts Inc.,P668,6976 West Broad Street,Douglasville,GA,30134,"6976 West Broad Street, City, GA  30134",-84.7570581,33.7470415,premise,rooftop,NA,Douglasville,Douglas County
Philadelphie SDA Church,P488,6784 Church Street,Douglasville,GA,30134,"6784 Church Street, City, GA  30134",-84.749491,33.749986,point,manual,NA,Douglasville,Douglas County
Saint James AME Church,P536,8310 Elm Street,Douglasville,GA,30135,"8310 Elm Street, City, GA  30135",-84.7494602,33.7540204,street_address,range_interpolated,NA,Douglasville,Douglas County
Good Samaritan Center of Douglas County,P272,8366 Grady St.,Douglasville,GA,30134,"8366 Grady St., City, GA  30134",-84.7389223,33.7525181,premise,rooftop,NA,Douglasville,Douglas County
God’s Place Outreach Ministry,P268,8510 Newman St.,Douglasville,GA,30134,"8510 Newman St., City, GA  30134",-84.7326582,33.7480943,premise,rooftop,NA,Douglasville,Douglas County
Northwest Christian Church,P462,3737 Dallas Acworth Highway,Acworth,GA,30101,"3737 Dallas Acworth Highway, City, GA  30101",-84.7276949,34.0462137,street_address,range_interpolated,NA,Acworth,Cobb County
Lutheran Church of the Good Shepherd,P378,3099 Chapel Hill Rd,Douglasville,GA,30135,"3099 Chapel Hill Rd, City, GA  30135",-84.7259647,33.7222096,premise,rooftop,NA,Douglasville,Douglas County
Sheltering Arms - Longview Center,P562,3833 Longview Drive,Douglasville,GA,30135,"3833 Longview Drive, City, GA  30135",-84.7014134,33.744164,street_address,rooftop,NA,Douglasville,Douglas County
Allatoona Resource Center,P024,6503 Glade Rd.,Acworth,GA,30102,"6503 Glade Rd., City, GA  30102",-84.681162,34.1137254,street_address,rooftop,NA,Acworth,Bartow County
Pelagie Foundation,P484,3459 Acworth Due West rd,Acworth,GA,30141,"3459 Acworth Due West rd, City, GA  30141",-84.6757126,34.0370943,street_address,rooftop,NA,Kennesaw,Cobb County
Pelagie Foundation,P485,3459 Acworth Due West rd,Acworth,GA,30141,"3459 Acworth Due West rd, City, GA  30141",-84.6757126,34.0370943,street_address,rooftop,NA,Kennesaw,Cobb County
Backpack Buddies of Georgia Inc.,P048,"2015 Hwy 154, Ste.101",Newnan,GA,30265,"2015 Hwy 154, Ste.101, City, GA  30265",-84.6732063,33.3860966,subpremise,rooftop,NA,Newnan,Coweta County
Lakeview Seventh- Day Adventist Church,P349,4001 Macedonia Road,Powder Springs,GA,30127,"4001 Macedonia Road, City, GA  30127",-84.6713239,33.87436,street_address,rooftop,NA,Powder Springs,Cobb County
Reflections of Trinity Inc.,P512,4037 Austell Powder Springs Rd.,Powder Springs,GA,30127,"4037 Austell Powder Springs Rd., City, GA  30127",-84.6697798,33.8559853,establishment,rooftop,NA,Powder Springs,Cobb County
Palmetto Baptist Church,P478,504 Center Street,Palmetto,GA,30268,"504 Center Street, City, GA  30268",-84.6692842,33.5194529,premise,rooftop,NA,Palmetto,Fulton County
Gift of Love Services of W. Georgia,P262,3900 Veterans Memorial Highway,Lithia Springs,GA,30122,"3900 Veterans Memorial Highway, City, GA  30122",-84.6674144,33.7927635,street_address,rooftop,NA,Lithia Springs,Douglas County
"Chestnut Manor, Inc.",P097,8673 Chestnut Lane,Lithia Springs,GA,30122,"8673 Chestnut Lane, City, GA  30122",-84.6599069,33.7441694,premise,rooftop,NA,Lithia Springs,Douglas County
Light of Hope & Love Ministries,P362,3117 Macedonia Ct.,Powder Springs,GA,30127,"3117 Macedonia Ct., City, GA  30127",-84.6444471,33.8749016,street_address,range_interpolated,NA,Powder Springs,Cobb County
Sweetwater Mission Inc,P612,"6289 Veteran's Memorial Hwy.,Bldg.12A",Austell,GA,30168,"6289 Veteran's Memorial Hwy.,Bldg.12A, City, GA  30168",-84.6404368,33.8045698,establishment,rooftop,NA,Austell,Douglas County
Cobb Vineyard /Vineyard Christian Fellow,P121,3206 Old Highway 41,Kennesaw,GA,30144,"3206 Old Highway 41, City, GA  30144",-84.6386338,34.0331538,premise,rooftop,NA,Kennesaw,Cobb County
Hollydale UMC,P310,2364 Powder Springs Road,Marietta,GA,30064,"2364 Powder Springs Road, City, GA  30064",-84.6212451,33.8797017,street_address,range_interpolated,NA,Marietta,Cobb County
Faith Christian Family Church-Child Care,P204,2555 Cobb Parkway NW,Kennesaw,GA,30152,"2555 Cobb Parkway NW, City, GA  30152",-84.6159012,34.016887,premise,rooftop,NA,Kennesaw,Cobb County
Food Security For America - Walton Crossing,P238,1820 Mulkey Road,Austell,GA,30106,"1820 Mulkey Road, City, GA  30106",-84.6077667,33.8604812,street_address,rooftop,NA,Austell,Cobb County
Parents With A Purpose Inc.-Walton Reserve,P480,7075 Walton Reserve Way,Austell,GA,30168,"7075 Walton Reserve Way, City, GA  30168",-84.6024831,33.7816036,street_address,rooftop,Walton Reserve Place,Austell,Cobb County
Food Security For America - Walton Reserve,P240,7075 Walton Reserve Lane,Austell,GA,30168,"7075 Walton Reserve Lane, City, GA  30168",-84.602483,33.781604,establishment,rooftop,Walton Reserve Place,Austell,Cobb County
Mt. Zion AME Church,P410,4163 Wade Green Road,Kennesaw,GA,30144,"4163 Wade Green Road, City, GA  30144",-84.595053,34.0521535,street_address,rooftop,NA,Kennesaw,Cobb County
Highest Praise Church of God,P304,3771 Floyd Road,Austell,GA,30106,"3771 Floyd Road, City, GA  30106",-84.5939014,33.8628774,street_address,rooftop,NA,Austell,Cobb County
Food Security For America - Walton Ridenour,P241,1425 Ridenour Boulevard,Kennesaw,GA,30152,"1425 Ridenour Boulevard, City, GA  30152",-84.5914124,33.993928,street_address,rooftop,NA,Kennesaw,Cobb County
Margies House,P383,304 Fairburn Industrial Blvd.,Fairburn,GA,30213,"304 Fairburn Industrial Blvd., City, GA  30213",-84.589059,33.556121,street_address,rooftop,NA,Fairburn,Fulton County
Feeding GA Families,P218,93 Howell Ave,Fairburn,GA,30213,"93 Howell Ave, City, GA  30213",-84.5866439,33.5572128,street_address,range_interpolated,NA,Fairburn,Fulton County
Milford Baptist Church,P393,1030 Milford Church Road,Marietta,GA,30060,"1030 Milford Church Road, City, GA  30060",-84.5838722,33.8810676,premise,rooftop,NA,Marietta,Cobb County
New Horizons in Faith Church,P431,81 West Campbellton Street,Fairburn,GA,30213,"81 West Campbellton Street, City, GA  30213",-84.5831563,33.5687429,premise,rooftop,NA,Fairburn,Fulton County
New City Church Peachtree-City Bridges Food Pantry,P424,320 Dividend DR,Peachtree City,GA,30269,"320 Dividend DR, City, GA  30269",-84.5826447,33.381878,premise,rooftop,NA,Peachtree City,Fayette County
First Baptist Church of Fairburn,P222,"23 Malone Street, SE",Fairburn,GA,30213,"23 Malone Street, SE, City, GA  30213",-84.5823992,33.5642391,premise,rooftop,NA,Fairburn,Fulton County
FBCM Food Pantry-First Baptist Church of Mableton,P217,5385 Church St,Mableton,GA,30126,"5385 Church St, City, GA  30126",-84.581935,33.819965,point,manual,NA,Mableton,Cobb County
KSU Foundation,P348,585 Cobb Ave NW,Kennesaw,GA,30144,"585 Cobb Ave NW, City, GA  30144",-84.5805988,34.0386409,premise,rooftop,Town Center,Kennesaw,Cobb County
Grandview Seventh-day Adventist Church,P278,750 Lansky Werber Road,Austell,GA,30168,"750 Lansky Werber Road, City, GA  30168",-84.5768919,33.7741458,street_address,rooftop,NA,Austell,Cobb County
Heritage Presbyterian Church,P301,5323 Bells Ferry Road,Acworth,GA,30102,"5323 Bells Ferry Road, City, GA  30102",-84.5747471,34.0798949,premise,rooftop,NA,Acworth,Cherokee County
Vision for Souls Outreach Center Church,P669,6519 Factory Shoals Rd,Mableton,GA,30126,"6519 Factory Shoals Rd, City, GA  30126",-84.572025,33.795338,street_address,rooftop,NA,Mableton,Cobb County
In His Image Ministry Day Care,P320,630 Kurt Drive,Marietta,GA,30008,"630 Kurt Drive, City, GA  30008",-84.5715104,33.9008035,street_address,rooftop,NA,Marietta,Cobb County
"Forever Fed, Inc.",P245,4474 Towne Lake Parkway,Woodstock,GA,30189,"4474 Towne Lake Parkway, City, GA  30189",-84.570642,34.1299436,street_address,rooftop,NA,Woodstock,Cherokee County
Pleasant Grove Missionary Bapt. Church,P493,566 Whitlock Avenue,Marietta,GA,30064,"566 Whitlock Avenue, City, GA  30064",-84.5694678,33.9525521,premise,rooftop,NA,Marietta,Cobb County
Must Ministries Inc.- Marietta Program Services Ce,P412,1407 Cobb Pkwy N,Marietta,GA,30062,"1407 Cobb Pkwy N, City, GA  30062",-84.5691403,33.9851891,premise,rooftop,NA,Marietta,Cobb County
Schaffer Road Church of Christ,P550,554 Schaffer Road,Marietta,GA,30060,"554 Schaffer Road, City, GA  30060",-84.5691338,33.8989496,street_address,rooftop,NA,Marietta,Cobb County
Family Life Restoration Center Inc.,P213,6105 Mableton Parkway,Mableton,GA,30126,"6105 Mableton Parkway, City, GA  30126",-84.568322,33.805079,street_address,rooftop,NA,Mableton,Cobb County
South Fulton Community Coalition,P577,5650 Byrd Road,Union City,GA,30291,"5650 Byrd Road, City, GA  30291",-84.565047,33.576161,street_address,rooftop,NA,Union City,Fulton County
Words Of Faith AME Church,P687,5719 Garner Road,Mableton,GA,30126,"5719 Garner Road, City, GA  30126",-84.5632875,33.8138607,premise,rooftop,NA,Mableton,Cobb County
Woodstock Christian Church,P683,7700 Highway 92,Woodstock,GA,30189,"7700 Highway 92, City, GA  30189",-84.5604294,34.0836246,street_address,rooftop,NA,Woodstock,Cherokee County
Maximum Impact Love Inc.,P384,5315 Tulane Dr SW,Atlanta,GA,30336,"5315 Tulane Dr SW, City, GA  30336",-84.560345,33.75063,street_address,rooftop,NA,Atlanta,Fulton County
MUST Ministries-Save It Forward,P413,1280 Field Parkway,Marietta,GA,30066,"1280 Field Parkway, City, GA  30066",-84.5602994,33.9835837,premise,rooftop,NA,Marietta,Cobb County
Food Security For America - Walton Legacy,P239,1570 Roberta Drive SW,Marietta,GA,30008,"1570 Roberta Drive SW, City, GA  30008",-84.558599,33.913677,street_address,rooftop,NA,Marietta,Cobb County
Food Security For America - Walton Village,P242,"1570 Roberta Drive, SW",Marietta,GA,30008,"1570 Roberta Drive, SW, City, GA  30008",-84.558599,33.913677,street_address,rooftop,NA,Marietta,Cobb County
Sheltering Arms - Cobb,P561,1585 Roberta Dr.,Marietta,GA,30008,"1585 Roberta Dr., City, GA  30008",-84.5564925,33.9142342,premise,rooftop,NA,Marietta,Cobb County
SVDP St. Joseph Church,P606,87 Lacy Street,Marietta,GA,30060,"87 Lacy Street, City, GA  30060",-84.5539134,33.9659353,premise,rooftop,NA,Marietta,Cobb County
First United Methodist Church of Marietta,P234,56 Whitlock Ave NW,Marietta,GA,30064,"56 Whitlock Ave NW, City, GA  30064",-84.5530947,33.9528721,premise,rooftop,NA,Marietta,Cobb County
Real Life Center-Braelinn,P511,220 Parkade Court,Peachtree City,GA,30269,"220 Parkade Court, City, GA  30269",-84.5526034,33.354085,premise,rooftop,NA,Peachtree City,Fayette County
MUST-Elizabeth Inn Homeless Shelter,P414,55 Elizabeth Church Rd,Marietta`,GA,30062,"55 Elizabeth Church Rd, City, GA  30062",-84.5515799,33.9774246,premise,rooftop,NA,Marietta,Cobb County
Norton Park Elementary,P463,"3041 Gray Rd, SE",Smyrna,GA,30082,"3041 Gray Rd, SE, City, GA  30082",-84.5500652,33.8801879,street_address,rooftop,NA,Smyrna,Cobb County
Cornerstone Community Baptist Church,P147,"4895 Campbellton Road, SW",Atlanta,GA,30331,"4895 Campbellton Road, SW, City, GA  30331",-84.5461867,33.7027957,street_address,rooftop,Sandtown,Atlanta,Fulton County
Salvation Army-Marietta Corps,P546,202 Waterman Street,Marietta,GA,30060,"202 Waterman Street, City, GA  30060",-84.5460528,33.9480444,premise,rooftop,NA,Marietta,Cobb County
