UGA = 1,,Open Hand Atlanta = 2,HealthMPowers = 3,DPH = 4,,,,,,,,,,,
Agency,Date Added,"Project = Farmers Market, Elementary Youth etc.","Site Location (School district, school name, food bank, etc.)",Address building number,Street Name,City,Zip Code,County,Target Audience,,,,,,
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Barrow Elementary School,100,Pinecrest Dr.,Athens,30605,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Concerted Services-Pearson,818,E. Austin Ave.,Pearson,31642,Coffee,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Paxen,121,E. Felton Rd.,Cartersville,30120,Bartow,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Adairsville United Methodist Church,102,S. Main St.,Adairsville,30103,Bartow,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Bartow Family Resources,200,Leake St.,Cartersville,30120,Bartow,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Allatoona Resource Center,6503,Glade Rd. SE,Acworth,30101,Bartow,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Magnolia Room,200,S. Madison Ave. #C,Douglas,31533,Coffee,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Hamilton Mill Crossing,116,Hamilton Crossing Rd. NW,Cartersville,30120,Bartow,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Episcopal Food Pantry,205,W. Cherokee Ave.,Cartersville,30120,Bartow,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Athens Community on Aging,135,Hoyt St.,Athens,30601,Clarke,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Advantage Behavioral Health Center,250,North Ave.,Athens,30601,Clarke,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Greater Bethel Episcopal Church,250,Rose St.,Athens,30601,Clarke,Adults 18+,,,,,,
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Winterville Elementary School,305,Cherokee Rd.,Winterville,30683,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Diversions Center,2725,Lexington Rd.,Athens,30606,Clarke,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Goodwill Career Center,4070,Lexington Rd.,Athens,30605,Clarke,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U, Food Talk:Farmers Market",Morrow Library,6225,Maddox Rd.,Morrow,30260,Clayton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Salvation Army,469,Marietta St.,Atlanta,30313,Fulton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Adamsville Senior Center,3537,"Martin Luther King, Jr.Dr.",Atlanta,30331,Fulton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",South Clayton Recreation Center,1837,McDonough Rd.,Hampton,30228,Clayton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Genesis Alliance Mental Health,4540,Memorial Dr.,Decatur,30032,DeKalb,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Essence of Hope,2031,Metropolitan Pwky. SW,Atlanta,30315,Fulton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",DeKalb Court,556,N. McDonough St.,Decatur,30030,DeKalb,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",ATCO-Wiregrass,59,N. Pearson St.,Pearson,31642,Coffee,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Live Forward,240,North Ave.,Athens,30601,Clarke,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Matthew's Place,565,Larkin St.,Atlanta,30313,Fulton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Mercy Health Center,700,Oglethorpe Ave.,Athens,30606,Clarke,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Rollins Child Development,676,Henderson Dr.,Cartersville,30120,Bartow,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",New Horizons,745,Orr St.,Atlanta,30314,Fulton,Adults 18+,,,,,,
1,1/1/2018,Housing Services,The Gardens Apartments,899,Park St.,Atlanta,30310,Fulton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Brooks Hill,185,Penland St.,Ellijay,30540,Gilmer,Adults 18+,,,,,,
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Gaines Elementary School,900,Gaines School Rd.,Athens,30605,Clarke,Pre-K children (3-5)  Pre-K Teachers 18+  Parents 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Gilmer County Extension Office,1123,Progress Rd.,Eljay,30540,Gilmer,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Clayton Community Services Authority,1000,Main St.,Forest Park,30297,Clayton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Clayton County Service Authority/Food Pantry,1000,Main St.,Forest Park,30297,Clayton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",New Joy,496,Resse St.,Athens,30601,Clarke,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Concerted Services-Douglas,1115,W. Baker Hwy.,Douglas,31533,Coffee,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",24/7 Dads,1117,Battle Creek Rd.,Jonesboro,30236,Clayton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",ClaytonCounty Board of Health,1117,Battlecreek Rd.,Jonesboro,30236,Clayton,Adults 18+,,,,,,
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Oglethorpe Elementary School,1150,Oglethorpe Ave.,Athens,30606,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,,,,,,
1,1/1/2018,Easter Seals: Head Start Classrooms,Easter Seals of Northeast Georgia: Madison County Head Start,85,Rock Quarry Rd.,Danielsville,30633,Madison,Head Start children (3-5)  Head Start Teachers 18+  Parents 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Timothy Woods Apartments,2085,S.Miledge St.,Athens,30605,Clarke,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Athens Housing Authority,300,S.Rock Springs St.,Athens,30601,Clarke,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Salvation Army - Clayton County,130,Spring St.,Jonesboro,30236,Clayton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Bobby Dodd,221,Stockbridge Rd.,Jonesboro,30236,Clayton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Veranda at Carver,217,Thirkield Ave.,Atlanta,30315,Fulton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Coffee High School,159,Trojan Way,Douglas,31533,Coffee,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U, Food Talk:Farmers Market",Riverdale Library,420,Valley Hill Rd.,Riverdale,30274,Clayton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Wiregrass GED,706,W. Baker Hwy.,Douglas,31533,Coffee,Adults 18+,,,,,,
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Cleveland Road Elementary School,1700,Cleveland Rd.,Bogart,30622,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Douglas County Senior Center,408,W.Ward St.,Douglas,31533,Coffee,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Hope Haven,2152,West Broad St.,Athens,30601,Clarke,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U. Food Talk: Farmers Market",Forest Park Library,4812,West St.,Forest Park,30297,Clayton,Adults 18+,,,,,,
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Whit Davis Elementary School,1450,Whit Davis Rd.,Athens,30605,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,,,,,,
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Timothy Road Elementary School,1900,Timothy Rd.,Athens,30606,Clarke,Pre-K children (3-5)  Pre-K Teachers 18+  Parents 18+,,,,,,
1,1/1/2018,HCCG: ECE Collaborative,Clarke County School District Office of Early Learning,440-2,Dearing Extension,Athens,30606,Clarke,Pre-K Teachers 18+,,,,,,
1,1/1/2018,HCCG: ECE Collaborative,Clarke County School District Office of Early Learning,440-2,Dearing Extension,Athens,30606,Clarke,Pre-K Teachers 18+,,,,,,
1,1/1/2018,Food Talk and Food Talk: Better U,Atlanta Habitat for Humanity,824,Memorial Dr SE,Atlanta,30316,Fulton,Adults 18+,,,,,,
1,1/1/2018,Outreach Event,Fall Festival,3499,Rex Rd,Rex,30273,Clayton,Adults 18+,,,,,,
1,1/1/2018,Food Talk: Farmers Market and Outreach Event,St. Mary's Hospital,1230,Baxter St,Athens,30606,Clarke,Adults 18+,,,,,,
1,1/1/2018,Food Talk: Farmers Market and Outreach Event,Rashe's Cuisine,211,Tallassee Rd,Athens,30606,Clarke,Adults 18+,,,,,,
1,1/1/2018,Outreach Event,Greater Bethany Baptist Church,786,Thurmond St,Atlanta,30314,Fulton,Adults 18+,,,,,,
1,1/1/2018,"FT, FTBU, FTFM, Outreach",Oakhurst Medical Center,5582,Memorial Drive,Stone Mountain,30083,DeKalb,Adults 18+,,,,,,
1,1/1/2018,"FT, FTBU, FTFM, Outreach",Bishop Park,705,Sunset Drive,Athens,30606,Clarke,Adults 18+,,,,,,
1,1/1/2018,FTFM,Creature Comforts,271,W. Hancock Ave,Athens,30601,Clarke,Adults 18+,,,,,,
1,1/1/2018,Food Talk and Food Talk: Better U,The Kindezi School West,286,Wilson Mill Rd,Atlanta,30331,Fulton,Adults 18+,,,,,,
1,1/1/2018,Food Talk and FT Better U,Fannin Food Pantry,101,Industrial Park Rd.,Blue Ridge,30513,Fannin,Adults 18+,,,,,,
1,1/1/2018,Outreach,Cartersville First Baptist Church,241,Douthit Ferry Rd,Cartersville,30120,Bartow,Adults 18+,,,,,,
1,1/1/2018,"FT, FTBU, Outreach",Sparrow's Nest,745,Prince Ave,Athens,30606,Clarke,Adults 18+,,,,,,
1,1/1/2018,"FT, FTBU, Outreach",Fourth Street Village Apartments,690,Fourth Street,Athens,30601,Clarke,Adults 18+,,,,,,
1,1/1/2018,Food Talk and Food Talk: Better U,Sheltering Arms,5020,Stonewall Tell Rd,College Park,30349,Fulton,Adults 18+,,,,,,
1,1/1/2018,Food Talk and FT Better U,Kingston Baptist,40,Main St,Kingston,30145,Bartow,Adults 18+,,,,,,
1,1/1/2018,"FT, FTBU, FTFM, Outreach",Bethel Midtown Village,155,Hickman Dr,Athens,30601,Clarke,Adults 18+,,,,,,
1,1/1/2018,FTFM,Greater Works Missionary Baptist Church/Food Pantry,295,Morrow Rd,Forest Park,30297,Clayton,Adults 18+,,,,,,
1,1/1/2018,Outreach Event,Georgia Mountains Health Services,165,Blue Ridge Overlook,Blue Ridge,30513,Fannin,Adults 18+,,,,,,
1,1/1/2018,"FT,FTBU,FTFM Outreach",Cam Fulton/Truitt 4-H Center,4300,Hershel Road,College Park,30337,Fulton,Adults 18+,,,,,,
1,1/1/2018,,Our House,173,Boulevard,Atlanta,30312,Fulton,Adults 18+,,,,,,
1,1/1/2018,,The Good Samaritan,1015,Donald Lee Holowell PKWY,Atlanta,30318,Fulton,Adults 18+,,,,,,
1,1/1/2018,,Genesis Alliance Mental Health,4540,Memorial Dr. # C,Decatur,30032,DeKalb,Adults 18+,,,,,,
1,1/1/2018,,Cartersville Boys and Girls Clubs,642,Henderson Dr,Cartersville,30120,Bartow,Adults 18+,,,,,,
1,1/1/2018,Outreach,Chamblee Library,4115,Clairmont Road,Chamblee,30341,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Covington Library,3500,Covington Highway,Decatur,30032,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Doraville Library,3748,Central Ave.,Doraville,30340,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Dunwoody Library,5339,Chamblee-Dunwoody Road,Dunwoody,30338,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Embry Hills Library,3733,Chamblee-Tucker Road,Chamblee,30341,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Gresham Library,2418,2418 Gresham Road SE,Atlanta,30316,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Northlake-Barbara Loar Library,3772,LaVista Road,Tucker,30084,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Salem-Panola Library,5137,Salem Road,Lithonia,30038,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Tucker-Reid H. Cofer Library,5234,LaVista Road,Tucker,30084,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Wesley Chapel-William C. Brown Library,2861,Wesley Chapel Road,Decatur,30034,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Hairston Crossing Library,4911,Redan Road,Stone Mountain,30088,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Flat Shoals Library,4022,Flat Shoals Pkwy.,Decatur,30034,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Decatur Library,215,Sycamore St,Decatur,30030,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Stone Mountain-Sue Kellogg Library,952,Leon St,Stone Mountain,30083,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Lithonia-Davidson Library,6821,Church St,Lithonia,30058,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Clarkston Library,951,N Indian Creek Dr,Clarkston,30021,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Scott Candler Library,1917,Candler Rd.,Decatur,30032,DeKalb,Adults 18+,,,,,,
1,1/1/2018,"FT, FTBU, FTFM, Outreach",Downtown Academy,180,Pulaski St,Athens,30601,Clarke,Adults 18+,,,,,,
1,1/1/2018,"FT, FTBU, FTFM, Outreach",Sheltering Arms - Oakley Township Center,7210,Oakley Terrace,Union City,30291,Fulton,Adults 18+,,,,,,
1,1/1/2018,"FT, FTBU, FTFM, Outreach",Caring Works,4035,"Seven Oak Lane, Apt C",East Point,30344,Fulton,Adults 18+,,,,,,
1,1/1/2018,Outreach,Salvation Army Atlanta Peachtree Corps,3500,Sherrydale Lane,Decatur,30032,DeKalb,Adults 18+,,,,,,
1,1/1/2018,"FTFM, Outreach",Mundy Mills High School (location of a health/wellness event),9652,Fayetteville Rd,Jonesboro,30228,Clayton,Adults 18+,,,,,,
1,1/1/2018,Food eTalk,Elbert County Extension,1088,Rickersville,Elberton,30635,Elbert,Adults 18+,,,,,,
1,1/1/2018,Food eTalk,Elbert Primary School,1019,Falling Creek Circle,Elberton,30635,Elbert,Adults 18+,,,,,,
1,1/1/2018,Food eTalk,Elbert County Middle School,1108,Athens Tech Rd,Elberton,30635,Elbert,Adults 18+,,,,,,
1,1/1/2018,Food eTalk,Elbert County High School,600,Abernathy Circle,Elberton,30635,Elbert,Adults 18+,,,,,,
1,1/1/2018,FTBU,Shangri La Park,69,Gilreath Rd NW,Cartersville,30121,Bartow,Adults 18+,,,,,,
1,1/1/2018,"FT, Outreach",Sheltering Arms-International Village Center,3375,Chamblee Dunwoody Road,Chamblee,30341,DeKalb,Adults 18+,,,,,,
1,1/1/2018,"FT, Outreach",Sheltering Arms-East Lake Center,350,East Lake Boulevard,Atlanta,30317,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach,Brookhaven Library,1242,"N. Druid Hills Rd., NE",Atlanta,30319,DeKalb,Adults 18+,,,,,,
1,1/1/2018,Outreach Event,Greater Bethany Baptist Church,786,Thurmond St,Atlanta,30314,Fulton,Adults 18+,,,,,,
1,1/1/2018,Outreach,Vine City Park,,Magnolia St NW,Atlanta,30314,Fulton,Adults 18+,,,,,,
1,1/1/2018,Outreach,East Point Mobile Homes,2848,2848 Veterans Street,East Point,30344,Fulton,Adults 18+,,,,,,
1,1/1/2018,Outreach,Hurd Homes,3022,3022 Randell St,East Point,30344,Fulton,Adults 18+,,,,,,
1,1/1/2018,Outreach,Longview Mobil Home Park,9,9 Longview Drive,Atlanta,30344,Fulton,Adults 18+,,,,,,
1,1/1/2018,Outreach,East Point Housing,3047,3047 John Freeman Way,East Point,30344,Fulton,Adults 18+,,,,,,
1,1/1/2018,"FT, FTBU",Fannin Senior Life Services Center,440,W 1st Street,Blue Ridge,30513,Gilmer,Adults 18+,,,,,,
1,03/23/2018,"FTFM, Outreach",Boys and Girls Club of Athens,705,705 Fourth Street,Athens,30601,Clarke,Adults 18+,,,,,,
1,03/23/2018,"FTFM, Outreach",Boy and Girls Club - HT Edwards,440-4,440-4 Dearing Extension,Athens,30606,Clarke,Adults 18+,,,,,,
1,03/23/2018,"FT, FTBU, FeT, FTFM, Outreach",Ebenezer Baptist West,205,205 N. Chase Street,Athens,30606,Clarke,Adults 18+,,,,,,
1,03/23/2018,"FT, FTBU, FeT, FTFM, Outreach",First AME Church,521,521 Hull Street,Athens,30601,Clarke,Adults 18+,,,,,,
1,03/23/2018,"FTFM, Outreach",Garden View Funeral Home,605,605 Olympic Drive,Athens,30601,Clarke,Adults 18+,,,,,,
1,03/23/2018,"FT, FTBU, FeT, FTFM, Outreach",Hill Chapel Baptist,1962,1692 W. Hancock Ave,Athens,30606,Clarke,Adults 18+,,,,,,
1,03/23/2018,"FT, FTBU, FeT, FTFM, Outreach",Nelly B. Community Center,200,200 Zatella Lane,Athens,30606,Clarke,Adults 18+,,,,,,
1,03/23/2018,"FT, FTBU, FeT, FTFM, Outreach",New Covenant Worship Center,1425,1425 Newton Bridge Road,Athens,30607,Clarke,Adults 18+,,,,,,
1,03/23/2018,"FT, FTBU, FeT, FTFM, Outreach",Parkview Apartments,,S. Finley Street,Athens,30605,Clarke,Adults 18+,,,,,,
1,03/23/2018,"FT, FTBU, FeT, FTFM, Outreach",Athens Neighborhood Health Center,402,402 McKinley Drive,Athens,30601,Clarke,Adults 18+,,,,,,
1,04/16/2018,,Tranquility House,501,N Museum Drive,Cartersville,30120,Bartow,,,,,,,
1,04/17/2018,"FT, FTBU, Outreach",Gilmer Public Library,268,Calvin Jackson Drive,Ellijay,30540,Gilmer,,,,,,,
1,04/17/2018,FTFM,Society o St. Vincent De Paul,4871,Memorial Drive,Stone Mountain,30083,DeKalb,,,,,,,
1,04/17/2018,FTFM,"K.D. Moore Community Development, Inc.",3999,Church Street,Clarkston,30021,DeKalb,,,,,,,
1,04/17/2018,FTFM,Fairfield Baptist Church,6133,Redan Road,Lithonia,30088,DeKalb,,,,,,,
1,04/17/2018,FTFM,Berean Christian Church,2201,Young Road,Stone Mountain,30088,DeKalb,,,,,,,
1,04/17/2018,"FT, FTBU, Outreach",The Gardens Apartments,1870,Campbellton Rd,Atlanta,30311,Fulton,,,,,,,
1,04/17/2018,"FT, FTBU, Outreach",The Society of St. Vincent de Paul Georgia,1700,Lakewood Avenue SE,Atlanta,30315,Fulton,,,,,,,
1,04/17/2018,FTFM,Jonesboro Farmers Market,155,Lee Street,Jonesboro,30236,Clayton,,,,,,,
1,04/17/2018,"FT, FTBU, Outreach",Georgia Mountains Health - Ellijay,772,"Maddox Drive, #122",Ellijay,30540,Gilmer,,,,,,,
1,04/17/2018,FTBU,"Christian League for Battered Women, Inc.",,P.O. Box 1383,Cartersville,30120,Bartow,,,,,,,
1,5/7/2018,"FTFM, Outreach",Shrine of the Black Madonna,946,Ralph David Abernathy Boulevard,Atlanta,30310,Fulton,5,Adults 18+,,,,,
1,5/7/2018,"FTFM, Outreach",Berean Seventh Day Adventist Church,291,Hamilton E. Holmes Drive,Atlanta,30331,Fulton,5,Adults 18+,,,,,
1,5/7/2018,"FTFM, Outreach",Mt. Vernon Baptist Church,815,Lynhurst Drive,Atlanta??,30311,Fulton,5,Adults 18+,,,,,
1,5/7/2018,"FTFM, Outreach",Allen Temple AME Church,1625,Simpson Road,Atlanta,30314,Fulton,5,Adults 18+,,,,,
1,5/7/2018,"FTFM, Outreach",Quest Community Development??,878,Rock Street,Atlanta,30314,Fulton,5,Adults 18+,,,,,
1,5/7/2018,"FTFM, Outreach",Hillside International Truth Center,2450,Cascade Road,Atlanta,30311,Fulton,5,Adults 18+,,,,,
1,5/7/2018,"FTFM, Outreach",Palmetto Neighborhood Senior Center,510,Turner Avenue,Palmetto,30268,Fulton,13,Adults 18+,,,,,
1,5/7/2018,"FTFM, Outreach",St. Mark AME Church,3605,Campbellton Road,Atlanta,30331,Fulton,5,Adults 18+,,,,,
1,5/7/2018,"FTFM, Outreach",Barge Road Senior Highrise,2440,Barge Road,Atlanta,30331,Fulton,5,Adults 18+,,,,,
1,1/1/2018,FTFM,Stephenson High School,701,Stephenson Rd,Stone Mountain,30087,DeKalb,4,Adults 18+,,,,,
1,1/1/2018,FTFM,Elizabeth Andrews High School,1701,Mountain Industrial Blvd,Stone Mountain,30083,DeKalb,4,Adults 18+,,,,,
1,1/1/2018,FTFM,Stone Mountain High School,4555,Central Dr,Stone Mountain,30083,DeKalb,4,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Appling County Extension,83,Oak St.,Baxley,31513,Appling,12,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Bacon County Extension,203,S. Dixon St.,Alma,31510,Bacon,1,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Baker County Extension,398,GA Hwy 37 SW,Newton,39870,Baker,2,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Baldwin County Extension,320,Linda Drive NE,Milledgeville,31061,Baldwin,10,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Banks County Extension,413,Evans St.,Homer,30547,Banks,9,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Barrow County Extension,90,Lanthier Street,Winder,30680,Barrow,10,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Ben Hill County Extension,406,West Palm Street,Fitzgerald,31750,Ben Hill,8,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Berrien County Extension,516A,"County Farm Rd, Suite 1",Nashville,31639,Berrien,8,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Bibb County Extension,145,First Street,Macon,31201,Bibb,2,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Bleckley County Extension,165,E. Peacock St.,Cochran,31014,Bleckley,8,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Brooks County Extension,400,East Courtland Avenue,Quitman,31643,Brooks,8,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Bryan County Extension,131,N. College St.,Pembroke,31321,Bryan,1,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Bulloch County Extension,151,Langston Chapel Rd.,Statesboro,30458,Bulloch,12,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Calhoun County Extension,10971,Dickey Street,Morgan,39866,Calhoun,2,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Camden County Extension,1409,Georgia Ave.,Woodbine,31569,Camden,1,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Candler County Extension,1075,"E. Hiawatha St., Suite B",Metter,30439,Candler,12,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, TFM, Outreach",Charlton County Extension,55,Kingsland Dr.,Folkston,31537,Charlton,1,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Cherokee County Extension,1130,Bluffs Pkwy,Canton,30114,Cherokee,11,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Clarke County Extension,2152,West Broad Street,Athens,30606,Clarke,10,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Clinch County Extension,313,"West Dame Ave., Suite A",Homerville,31634,Clinch,1,Adults 18+,,,,,
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Coffee County Extension,709,E. Ward St.,Douglas,31533,Coffee,12,Adults 18+,,,,,
