Type,Name,County,X,Y,addresses,Zip,FID_1,STATEFP10,COUNTYFP10,GEOID,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,last_edite,cty_fips,data_added
UGA SNAP-Ed,Senior Connection,DeKalb,-84.2862233,33.7342365,"1931 Candler Rd., Decatur, GA, 30032",,132,13,89,13089,DeKalb,DeKalb County,691893,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,173496,271.087006,133,{3912F679-CB5F-4618-B448-53B943B436DF},,13089,
UGA SNAP-Ed,Clarke County School District: Chase Street Elementary School,Clarke,-83.394176,33.9646803,"757 Chase St., Athens, GA, 30601",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Exchange Recreation Center,DeKalb,-84.2537527,33.7074199,"2771 Columbia Dr., Decatur, GA, 30034",,132,13,89,13089,DeKalb,DeKalb County,691893,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,173496,271.087006,133,{3912F679-CB5F-4618-B448-53B943B436DF},,13089,
UGA SNAP-Ed,RHEMA,Clarke,-83.352669,33.999623,"1850 Danielsville Rd., Athens, GA, 30601",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Dogwood Seniors,Fulton,-84.4470085,33.7740654,"1838 Donald Lee Hollowell Pkwy NW, Atlanta, GA, 30318",,86,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.229004,87,{44A3942A-9608-4E68-A927-A38721FF266D},,13121,
UGA SNAP-Ed,Clarke County School District: Barrow Elementary School,Clarke,-83.3827784,33.9416701,"100 Pinecrest Dr., Athens, GA, 30605",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Concerted Services-Pearson,Coffee,-82.8425116,31.2926467,"818 E. Austin Ave., Pearson, GA, 31642",,59,13,69,13069,Coffee,Coffee County,42356,N,N,N,N,N,N,N,Southern Georgia,385768,602.762024,60,{FFD327B3-3942-4407-AB3E-2F27A45835CD},,13069,
UGA SNAP-Ed,Paxen,Bartow,-84.7944615,34.1963057,"121 E. Felton Rd., Cartersville, GA, 30120",,153,13,15,13015,Bartow,Bartow County,100157,N,N,Y,N,Y,N,Y,Northwest Georgia,300840,470.062988,154,{A0492A5A-1A5A-4647-B5D0-7C6E191136FE},2015-10-14T17:35:02.000Z,13015,
UGA SNAP-Ed,Adairsville United Methodist Church,Bartow,-84.9345601,34.3679981,"102 S. Main St., Adairsville, GA, 30103",,153,13,15,13015,Bartow,Bartow County,100157,N,N,Y,N,Y,N,Y,Northwest Georgia,300840,470.062988,154,{A0492A5A-1A5A-4647-B5D0-7C6E191136FE},2015-10-14T17:35:02.000Z,13015,
UGA SNAP-Ed,Bartow Family Resources,Bartow,-84.8003646,34.1621229,"200 Leake St., Cartersville, GA, 30120",,153,13,15,13015,Bartow,Bartow County,100157,N,N,Y,N,Y,N,Y,Northwest Georgia,300840,470.062988,154,{A0492A5A-1A5A-4647-B5D0-7C6E191136FE},2015-10-14T17:35:02.000Z,13015,
UGA SNAP-Ed,Allatoona Resource Center,Bartow,-84.681162,34.1137254,"6503 Glade Rd. SE, Acworth, GA, 30101",,153,13,15,13015,Bartow,Bartow County,100157,N,N,Y,N,Y,N,Y,Northwest Georgia,300840,470.062988,154,{A0492A5A-1A5A-4647-B5D0-7C6E191136FE},2015-10-14T17:35:02.000Z,13015,
UGA SNAP-Ed,Magnolia Room,Coffee,-82.848877,31.506991,"200 S. Madison Ave. #C, Douglas, GA, 31533",,59,13,69,13069,Coffee,Coffee County,42356,N,N,N,N,N,N,N,Southern Georgia,385768,602.762024,60,{FFD327B3-3942-4407-AB3E-2F27A45835CD},,13069,
UGA SNAP-Ed,Hamilton Mill Crossing,Bartow,-84.8660329,34.2392634,"116 Hamilton Crossing Rd. NW, Cartersville, GA, 30120",,153,13,15,13015,Bartow,Bartow County,100157,N,N,Y,N,Y,N,Y,Northwest Georgia,300840,470.062988,154,{A0492A5A-1A5A-4647-B5D0-7C6E191136FE},2015-10-14T17:35:02.000Z,13015,
UGA SNAP-Ed,Episcopal Food Pantry,Bartow,-84.8010168,34.1655308,"205 W. Cherokee Ave., Cartersville, GA, 30120",,153,13,15,13015,Bartow,Bartow County,100157,N,N,Y,N,Y,N,Y,Northwest Georgia,300840,470.062988,154,{A0492A5A-1A5A-4647-B5D0-7C6E191136FE},2015-10-14T17:35:02.000Z,13015,
UGA SNAP-Ed,Athens Community on Aging,Clarke,-83.379474,33.964327,"135 Hoyt St., Athens, GA, 30601",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Advantage Behavioral Health Center,Clarke,-83.3651649,33.9718558,"250 North Ave., Athens, GA, 30601",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Greater Bethel Episcopal Church,Clarke,-83.4033651,33.9482115,"250 Rose St., Athens, GA, 30601",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Clarke County School District: Winterville Elementary School,Clarke,-83.2897798,33.9699357,"305 Cherokee Rd., Winterville, GA, 30683",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Diversions Center,Clarke,-83.3315939,33.9431588,"2725 Lexington Rd., Athens, GA, 30606",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Goodwill Career Center,Clarke,-83.3230366,33.9369361,"4070 Lexington Rd., Athens, GA, 30605",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Morrow Library,Clayton,-84.314123,33.584986,"6225 Maddox Rd., Morrow, GA, 30260",,31,13,63,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.10156,144.302994,32,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},,13063,
UGA SNAP-Ed,Salvation Army,Fulton,-84.3969815,33.7656876,"469 Marietta St., Atlanta, GA, 30313",,86,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.229004,87,{44A3942A-9608-4E68-A927-A38721FF266D},,13121,
UGA SNAP-Ed,Adamsville Senior Center,Fulton,-84.5025957,33.7589718,"3537 Martin Luther King, Jr.Dr., Atlanta, GA, 30331",,86,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.229004,87,{44A3942A-9608-4E68-A927-A38721FF266D},,13121,
UGA SNAP-Ed,South Clayton Recreation Center,Clayton,-84.3316079,33.4476278,"1837 McDonough Rd., Hampton, GA, 30228",,31,13,63,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.10156,144.302994,32,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},,13063,
UGA SNAP-Ed,Genesis Alliance Mental Health,DeKalb,-84.2429391,33.780744,"4540 Memorial Dr., Decatur, GA, 30032",,132,13,89,13089,DeKalb,DeKalb County,691893,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,173496,271.087006,133,{3912F679-CB5F-4618-B448-53B943B436DF},,13089,
UGA SNAP-Ed,Essence of Hope,Fulton,-84.4081967,33.6987501,"2031 Metropolitan Pwky. SW, Atlanta, GA, 30315",,86,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.229004,87,{44A3942A-9608-4E68-A927-A38721FF266D},,13121,
UGA SNAP-Ed,DeKalb Court,DeKalb,-84.2972438,33.7740753,"556 N. McDonough St., Decatur, GA, 30030",,132,13,89,13089,DeKalb,DeKalb County,691893,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,173496,271.087006,133,{3912F679-CB5F-4618-B448-53B943B436DF},,13089,
UGA SNAP-Ed,ATCO-Wiregrass,Coffee,-82.8514206,31.2983596,"59 N. Pearson St., Pearson, GA, 31642",,59,13,69,13069,Coffee,Coffee County,42356,N,N,N,N,N,N,N,Southern Georgia,385768,602.762024,60,{FFD327B3-3942-4407-AB3E-2F27A45835CD},,13069,
UGA SNAP-Ed,Live Forward,Clarke,-83.3659789,33.9719647,"240 North Ave., Athens, GA, 30601",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Matthew's Place,Fulton,-84.4073607,33.7480234,"565 Larkin St., Atlanta, GA, 30313",,86,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.229004,87,{44A3942A-9608-4E68-A927-A38721FF266D},,13121,
UGA SNAP-Ed,Mercy Health Center,Clarke,-83.4123221,33.9628029,"700 Oglethorpe Ave., Athens, GA, 30606",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Rollins Child Development,Bartow,-84.8173194,34.1526968,"676 Henderson Dr., Cartersville, GA, 30120",,153,13,15,13015,Bartow,Bartow County,100157,N,N,Y,N,Y,N,Y,Northwest Georgia,300840,470.062988,154,{A0492A5A-1A5A-4647-B5D0-7C6E191136FE},2015-10-14T17:35:02.000Z,13015,
UGA SNAP-Ed,New Horizons,Fulton,-84.4116036,33.7631158,"745 Orr St., Atlanta, GA, 30314",,86,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.229004,87,{44A3942A-9608-4E68-A927-A38721FF266D},,13121,
UGA SNAP-Ed,The Gardens Apartments,Fulton,-84.4172255,33.7422658,"899 Park St., Atlanta, GA, 30310",,86,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.229004,87,{44A3942A-9608-4E68-A927-A38721FF266D},,13121,
UGA SNAP-Ed,Brooks Hill,Gilmer,-84.4863215,34.7052953,"185 Penland St., Ellijay, GA, 30540",,28,13,123,13123,Gilmer,Gilmer County,28292,N,N,N,N,N,N,N,Northwest Georgia,275947,431.166992,29,{F5584E0A-B932-4A72-BE96-EEF5D3233611},,13123,
UGA SNAP-Ed,Clarke County School District: Gaines Elementary School,Clarke,-83.3371068,33.9297527,"900 Gaines School Rd., Athens, GA, 30605",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Gilmer County Extension Office,Gilmer,-84.4899444,34.6761345,"1123 Progress Rd., Eljay, GA, 30540",,28,13,123,13123,Gilmer,Gilmer County,28292,N,N,N,N,N,N,N,Northwest Georgia,275947,431.166992,29,{F5584E0A-B932-4A72-BE96-EEF5D3233611},,13123,
UGA SNAP-Ed,Clayton Community Services Authority,Clayton,-84.3574089,33.6206312,"1000 Main St., Forest Park, GA, 30297",,31,13,63,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.10156,144.302994,32,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},,13063,
UGA SNAP-Ed,Clayton County Service Authority/Food Pantry,Clayton,-84.3574089,33.6206312,"1000 Main St., Forest Park, GA, 30297",,31,13,63,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.10156,144.302994,32,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},,13063,
UGA SNAP-Ed,New Joy,Clarke,-83.3858248,33.9568817,"496 Resse St., Athens, GA, 30601",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Concerted Services-Douglas,Coffee,-82.8640834,31.5012253,"1115 W. Baker Hwy., Douglas, GA, 31533",,59,13,69,13069,Coffee,Coffee County,42356,N,N,N,N,N,N,N,Southern Georgia,385768,602.762024,60,{FFD327B3-3942-4407-AB3E-2F27A45835CD},,13069,
UGA SNAP-Ed,24/7 Dads,Clayton,-84.354173,33.5526658,"1117 Battle Creek Rd., Jonesboro, GA, 30236",,31,13,63,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.10156,144.302994,32,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},,13063,
UGA SNAP-Ed,ClaytonCounty Board of Health,Clayton,-84.354173,33.5526658,"1117 Battlecreek Rd., Jonesboro, GA, 30236",,31,13,63,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.10156,144.302994,32,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},,13063,
UGA SNAP-Ed,Clarke County School District: Oglethorpe Elementary School,Clarke,-83.4224955,33.9632259,"1150 Oglethorpe Ave., Athens, GA, 30606",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Easter Seals of Northeast Georgia: Madison County Head Start,Madison,-83.2150035,34.1365984,"85 Rock Quarry Rd., Danielsville, GA, 30633",,42,13,195,13195,Madison,Madison County,28120,N,N,N,N,N,N,N,Northeast Georgia,182774,285.584991,43,{FB984A70-A6A1-4095-8F0F-604A4143F984},,13195,
UGA SNAP-Ed,Timothy Woods Apartments,Clarke,-83.3807702,33.9224254,"2085 S.Miledge St., Athens, GA, 30605",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Athens Housing Authority,Clarke,-83.3932107,33.9504701,"300 S.Rock Springs St., Athens, GA, 30601",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Salvation Army - Clayton County,Clayton,-84.3575321,33.5252973,"130 Spring St., Jonesboro, GA, 30236",,31,13,63,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.10156,144.302994,32,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},,13063,
UGA SNAP-Ed,Bobby Dodd,Clayton,-84.348577,33.5256747,"221 Stockbridge Rd., Jonesboro, GA, 30236",,31,13,63,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.10156,144.302994,32,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},,13063,
UGA SNAP-Ed,Veranda at Carver,Fulton,-84.3833105,33.7148857,"217 Thirkield Ave., Atlanta, GA, 30315",,86,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.229004,87,{44A3942A-9608-4E68-A927-A38721FF266D},,13121,
UGA SNAP-Ed,Coffee High School,Coffee,-82.8611803,31.5522282,"159 Trojan Way, Douglas, GA, 31533",,59,13,69,13069,Coffee,Coffee County,42356,N,N,N,N,N,N,N,Southern Georgia,385768,602.762024,60,{FFD327B3-3942-4407-AB3E-2F27A45835CD},,13069,
UGA SNAP-Ed,Riverdale Library,Clayton,-84.4039771,33.5701123,"420 Valley Hill Rd., Riverdale, GA, 30274",,31,13,63,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.10156,144.302994,32,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},,13063,
UGA SNAP-Ed,Wiregrass GED,Coffee,-82.8583149,31.5009396,"706 W. Baker Hwy., Douglas, GA, 31533",,59,13,69,13069,Coffee,Coffee County,42356,N,N,N,N,N,N,N,Southern Georgia,385768,602.762024,60,{FFD327B3-3942-4407-AB3E-2F27A45835CD},,13069,
UGA SNAP-Ed,Clarke County School District: Cleveland Road Elementary School,Clarke,-83.505146,33.967061,"1700 Cleveland Rd., Bogart, GA, 30622",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Douglas County Senior Center,Coffee,-82.8553198,31.5088458,"408 W.Ward St., Douglas, GA, 31533",,59,13,69,13069,Coffee,Coffee County,42356,N,N,N,N,N,N,N,Southern Georgia,385768,602.762024,60,{FFD327B3-3942-4407-AB3E-2F27A45835CD},,13069,
UGA SNAP-Ed,Hope Haven,Clarke,-83.4069996,33.9508839,"2152 West Broad St., Athens, GA, 30601",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Forest Park Library,Clayton,-84.3678001,33.623152,"4812 West St., Forest Park, GA, 30297",,31,13,63,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.10156,144.302994,32,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},,13063,
UGA SNAP-Ed,Clarke County School District: Whit Davis Elementary School,Clarke,-83.3172223,33.9042853,"1450 Whit Davis Rd., Athens, GA, 30605",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Clarke County School District: Timothy Road Elementary School,Clarke,-83.445942,33.9371457,"1900 Timothy Rd., Athens, GA, 30606",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Clarke County School District Office of Early Learning,Clarke,-83.4003872,33.9503345,"440-2 Dearing Extension, Athens, GA, 30606",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Clarke County School District Office of Early Learning,Clarke,-83.4003872,33.9503345,"440-2 Dearing Extension, Athens, GA, 30606",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Atlanta Habitat for Humanity,Fulton,-84.3600751,33.7472953,"824 Memorial Dr SE, Atlanta, GA, 30316",,86,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.229004,87,{44A3942A-9608-4E68-A927-A38721FF266D},,13121,
UGA SNAP-Ed,Fall Festival,Clayton,-84.276728,33.5893002,"3499 Rex Rd, Rex, GA, 30273",,31,13,63,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.10156,144.302994,32,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},,13063,
UGA SNAP-Ed,St. Mary's Hospital,Clarke,-83.405571,33.947691,"1230 Baxter St, Athens, GA, 30606",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Rashe's Cuisine,Clarke,-83.4306486,33.9658076,"211 Tallassee Rd, Athens, GA, 30606",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Greater Bethany Baptist Church,Fulton,-84.4132041,33.760273,"786 Thurmond St, Atlanta, GA, 30314",,86,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.229004,87,{44A3942A-9608-4E68-A927-A38721FF266D},,13121,
UGA SNAP-Ed,Oakhurst Medical Center,DeKalb,-84.209729,33.8015257,"5582 Memorial Drive, Stone Mountain, GA, 30083",,132,13,89,13089,DeKalb,DeKalb County,691893,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,173496,271.087006,133,{3912F679-CB5F-4618-B448-53B943B436DF},,13089,
UGA SNAP-Ed,Bishop Park,Clarke,-83.4121317,33.9644564,"705 Sunset Drive, Athens, GA, 30606",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Creature Comforts,Clarke,-83.380191,33.9589638,"271 W. Hancock Ave, Athens, GA, 30601",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,The Kindezi School West,Fulton,-84.5135756,33.7546728,"286 Wilson Mill Rd, Atlanta, GA, 30331",,86,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.229004,87,{44A3942A-9608-4E68-A927-A38721FF266D},,13121,
UGA SNAP-Ed,Fannin Food Pantry,Fannin,-84.3113481,34.8843384,"101 Industrial Park Rd., Blue Ridge, GA, 30513",,84,13,111,13111,Fannin,Fannin County,23682,N,N,N,N,N,N,N,Northwest Georgia,250807,391.885986,85,{DDA9CEBF-AC90-491D-A59C-CF6626051D43},,13111,
UGA SNAP-Ed,Cartersville First Baptist Church,Bartow,-84.8257348,34.1471773,"241 Douthit Ferry Rd, Cartersville, GA, 30120",,153,13,15,13015,Bartow,Bartow County,100157,N,N,Y,N,Y,N,Y,Northwest Georgia,300840,470.062988,154,{A0492A5A-1A5A-4647-B5D0-7C6E191136FE},2015-10-14T17:35:02.000Z,13015,
UGA SNAP-Ed,Sparrow's Nest,Clarke,-83.3899143,33.9610906,"745 Prince Ave, Athens, GA, 30606",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Fourth Street Village Apartments,Clarke,-83.359519,33.970698,"690 Fourth Street, Athens, GA, 30601",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
